experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
12.01,multiclass,Logistic Regression,"(726, 800)",200,1,1,0.04,0.01,,0,100,0.3268156424581006,species_recall
12.01,multiclass,Logistic Regression,"(726, 1600)",200,1,2,0.04,0.01,,0,100,0.3240223463687151,species_recall
12.01,multiclass,Logistic Regression,"(726, 12331)",200,1,4,0.04,0.01,,0,100,0.3407821229050279,species_recall
12.01,multiclass,Logistic Regression,"(726, 28756)",200,1,6,0.04,0.01,,0,100,0.2737430167597765,species_recall
12.01,multiclass,Logistic Regression,"(7043, 800)",200,10,1,0.04,0.01,,0,100,0.23573487031700288,species_recall
12.01,multiclass,Logistic Regression,"(7043, 1600)",200,10,2,0.04,0.01,,0,100,0.22881844380403457,species_recall
12.01,multiclass,Logistic Regression,"(7043, 12800)",200,10,4,0.04,0.01,,0,100,0.39106628242074926,species_recall
12.01,multiclass,Logistic Regression,"(7043, 114383)",200,10,6,0.04,0.01,,0,100,0.3207492795389049,species_recall
12.01,multiclass,Logistic Regression,"(70255, 800)",200,100,1,0.04,0.01,,0,100,0.23156282510692405,species_recall
12.01,multiclass,Logistic Regression,"(70255, 1600)",200,100,2,0.04,0.01,,0,100,0.23228528493815745,species_recall
12.01,multiclass,Logistic Regression,"(70255, 12800)",200,100,4,0.04,0.01,,0,100,0.2300312102647093,species_recall
