experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.3,multiclass,Random Forest,100,200,2,50,800,0.878489021
1.3,multiclass,Random Forest,100,200,2,40,800,0.877930778
1.3,multiclass,Random Forest,100,200,2,50,400,0.876814291
1.3,multiclass,Random Forest,100,200,1,40,800,0.87662821
1.3,multiclass,Random Forest,100,200,1,50,800,0.87662821
1.3,multiclass,Random Forest,100,200,2,50,200,0.875697804
1.3,multiclass,Random Forest,100,200,1,30,800,0.875511723
1.3,multiclass,Random Forest,100,200,1,30,400,0.875325642
1.3,multiclass,Random Forest,100,200,1,40,400,0.875325642
1.3,multiclass,Random Forest,100,200,1,50,400,0.875325642
1.3,multiclass,Random Forest,100,200,1,20,800,0.873464831
1.3,multiclass,Random Forest,100,200,2,40,400,0.87327875
1.3,multiclass,Random Forest,100,200,2,30,800,0.872534425
1.3,multiclass,Random Forest,100,200,1,20,400,0.872348344
1.3,multiclass,Random Forest,100,200,1,30,200,0.872162263
1.3,multiclass,Random Forest,100,200,1,40,200,0.872162263
1.3,multiclass,Random Forest,100,200,1,50,200,0.872162263
1.3,multiclass,Random Forest,100,200,2,20,200,0.8717901
1.3,multiclass,Random Forest,100,200,2,20,400,0.8717901
1.3,multiclass,Random Forest,100,200,2,30,400,0.871604019
1.3,multiclass,Random Forest,100,200,1,20,200,0.871045776
1.3,multiclass,Random Forest,100,200,1,20,100,0.870487533
1.3,multiclass,Random Forest,100,200,1,30,100,0.870487533
1.3,multiclass,Random Forest,100,200,1,40,100,0.870487533
1.3,multiclass,Random Forest,100,200,1,50,100,0.870487533
1.3,multiclass,Random Forest,100,200,2,20,800,0.87011537
1.3,multiclass,Random Forest,100,200,2,30,100,0.869371046
1.3,multiclass,Random Forest,100,200,2,30,200,0.869184965
1.3,multiclass,Random Forest,100,200,2,20,100,0.868626721
1.3,multiclass,Random Forest,100,200,2,50,100,0.868626721
1.3,multiclass,Random Forest,100,200,2,40,200,0.866579829
1.3,multiclass,Random Forest,100,200,2,30,50,0.862486044
1.3,multiclass,Random Forest,100,200,2,50,50,0.862299963
1.3,multiclass,Random Forest,100,200,2,40,50,0.861555638
1.3,multiclass,Random Forest,100,200,2,40,100,0.861555638
1.3,multiclass,Random Forest,100,200,1,20,50,0.861183476
1.3,multiclass,Random Forest,100,200,1,30,50,0.860811314
1.3,multiclass,Random Forest,100,200,1,40,50,0.860811314
1.3,multiclass,Random Forest,100,200,1,50,50,0.860811314
1.3,multiclass,Random Forest,100,200,2,20,50,0.856159285
1.3,multiclass,Random Forest,100,200,4,50,400,0.782285076
1.3,multiclass,Random Forest,100,200,4,50,800,0.77967994
1.3,multiclass,Random Forest,100,200,4,50,200,0.777260886
1.3,multiclass,Random Forest,200,200,2,50,800,0.767398586
1.3,multiclass,Random Forest,200,200,2,40,800,0.766654261
1.3,multiclass,Random Forest,100,200,4,50,100,0.764421288
1.3,multiclass,Random Forest,200,200,2,30,800,0.763304801
1.3,multiclass,Random Forest,200,200,2,30,200,0.762932639
1.3,multiclass,Random Forest,200,200,1,30,800,0.761071827
1.3,multiclass,Random Forest,200,200,1,40,800,0.761071827
1.3,multiclass,Random Forest,200,200,1,50,800,0.761071827
1.3,multiclass,Random Forest,200,200,2,20,400,0.760327503
1.3,multiclass,Random Forest,200,200,2,40,400,0.759583178
1.3,multiclass,Random Forest,200,200,2,50,400,0.758838854
1.3,multiclass,Random Forest,200,200,2,30,400,0.757350205
1.3,multiclass,Random Forest,100,200,4,50,50,0.756791961
1.3,multiclass,Random Forest,200,200,1,20,800,0.756233718
1.3,multiclass,Random Forest,200,200,2,20,200,0.755861556
1.3,multiclass,Random Forest,200,200,2,20,800,0.755861556
1.3,multiclass,Random Forest,200,200,2,30,100,0.755861556
1.3,multiclass,Random Forest,200,200,2,40,200,0.755861556
1.3,multiclass,Random Forest,200,200,1,30,400,0.753628582
1.3,multiclass,Random Forest,200,200,1,40,400,0.753628582
1.3,multiclass,Random Forest,200,200,1,50,400,0.753628582
1.3,multiclass,Random Forest,200,200,1,20,200,0.75325642
1.3,multiclass,Random Forest,200,200,2,50,200,0.752139933
1.3,multiclass,Random Forest,200,200,1,20,400,0.751767771
1.3,multiclass,Random Forest,200,200,2,40,100,0.750279122
1.3,multiclass,Random Forest,200,200,2,20,100,0.748046148
1.3,multiclass,Random Forest,200,200,1,30,200,0.746929661
1.3,multiclass,Random Forest,200,200,1,40,200,0.746929661
1.3,multiclass,Random Forest,200,200,1,50,200,0.746929661
1.3,multiclass,Random Forest,200,200,1,30,100,0.745813175
1.3,multiclass,Random Forest,200,200,1,40,100,0.745813175
1.3,multiclass,Random Forest,200,200,1,50,100,0.745813175
1.3,multiclass,Random Forest,100,100,1,20,800,0.745441012
1.3,multiclass,Random Forest,100,100,1,30,800,0.743952363
1.3,multiclass,Random Forest,100,100,1,40,800,0.743952363
1.3,multiclass,Random Forest,100,100,1,50,800,0.743952363
