experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
1.01,multiclass,Random Forest,(undefined),200,2,1,6,60,0.344827586,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,10,140,0.344827586,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,14,140,0.344827586,accuracy
1.01,multiclass,Random Forest,(undefined),200,2,1,18,140,0.344827586,accuracy
1.01,multiclass,Random Forest,(undefined),100,1,3,10,20,0.344827586,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,2,140,0.344444444,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,18,20,0.340740741,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,10,60,0.340740741,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,6,100,0.340740741,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,18,180,0.340740741,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,14,180,0.340740741,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,6,60,0.338235294,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,14,140,0.338235294,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,18,140,0.338235294,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,6,140,0.337037037,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,14,180,0.337037037,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,18,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,18,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,6,60,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,6,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,6,180,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,10,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,14,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,1,18,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,10,60,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,10,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,10,140,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,14,140,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,1,3,18,140,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,6,140,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,10,60,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,14,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,18,180,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,2,180,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,6,60,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,10,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,14,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,18,100,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,14,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,14,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,10,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,10,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,10,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,1,6,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,6,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),400,2,3,2,20,0.333333333,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,2,100,0.32962963,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,6,180,0.32962963,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,14,60,0.32962963,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,3,14,20,0.32962963,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,10,140,0.325925926,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,14,140,0.325925926,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,6,140,0.323529412,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,6,100,0.323529412,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,6,140,0.323529412,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,3,10,100,0.323529412,accuracy
1.01,multiclass,Random Forest,(undefined),400,10,1,6,20,0.323529412,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,6,20,0.318518519,accuracy
1.01,multiclass,Random Forest,(undefined),100,10,1,2,20,0.318518519,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,1,6,180,0.311111111,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,10,180,0.311111111,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,18,100,0.311111111,accuracy
1.01,multiclass,Random Forest,(undefined),200,10,3,6,20,0.311111111,accuracy
