experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.01,multiclass,Random Forest,400,10,1,18,140,0.338235294
1.01,multiclass,Random Forest,100,10,3,6,140,0.337037037
1.01,multiclass,Random Forest,100,10,3,14,180,0.337037037
1.01,multiclass,Random Forest,200,1,1,6,60,0.333333333
1.01,multiclass,Random Forest,200,1,1,6,100,0.333333333
1.01,multiclass,Random Forest,200,1,1,6,180,0.333333333
1.01,multiclass,Random Forest,200,1,1,10,100,0.333333333
1.01,multiclass,Random Forest,200,1,1,14,100,0.333333333
1.01,multiclass,Random Forest,200,1,1,18,100,0.333333333
1.01,multiclass,Random Forest,200,1,3,10,60,0.333333333
1.01,multiclass,Random Forest,200,1,3,10,100,0.333333333
1.01,multiclass,Random Forest,200,1,3,10,140,0.333333333
1.01,multiclass,Random Forest,200,1,3,14,140,0.333333333
1.01,multiclass,Random Forest,200,1,3,18,140,0.333333333
1.01,multiclass,Random Forest,200,10,1,6,140,0.333333333
1.01,multiclass,Random Forest,200,10,1,10,20,0.333333333
1.01,multiclass,Random Forest,200,10,1,10,60,0.333333333
1.01,multiclass,Random Forest,200,10,3,14,100,0.333333333
1.01,multiclass,Random Forest,200,10,3,18,180,0.333333333
1.01,multiclass,Random Forest,400,2,1,2,180,0.333333333
1.01,multiclass,Random Forest,400,2,1,6,20,0.333333333
1.01,multiclass,Random Forest,400,2,1,6,60,0.333333333
1.01,multiclass,Random Forest,400,2,1,10,20,0.333333333
1.01,multiclass,Random Forest,400,2,1,10,100,0.333333333
1.01,multiclass,Random Forest,400,2,1,14,20,0.333333333
1.01,multiclass,Random Forest,400,2,1,14,100,0.333333333
1.01,multiclass,Random Forest,400,2,1,18,20,0.333333333
1.01,multiclass,Random Forest,400,2,1,18,100,0.333333333
1.01,multiclass,Random Forest,400,2,3,2,20,0.333333333
1.01,multiclass,Random Forest,400,2,3,6,20,0.333333333
1.01,multiclass,Random Forest,400,2,3,10,20,0.333333333
1.01,multiclass,Random Forest,400,2,3,14,20,0.333333333
1.01,multiclass,Random Forest,400,2,3,18,20,0.333333333
1.01,multiclass,Random Forest,100,10,1,2,100,0.32962963
1.01,multiclass,Random Forest,100,10,3,6,180,0.32962963
1.01,multiclass,Random Forest,100,10,3,14,20,0.32962963
1.01,multiclass,Random Forest,100,10,3,14,60,0.32962963
1.01,multiclass,Random Forest,200,10,1,10,140,0.325925926
1.01,multiclass,Random Forest,200,10,3,14,140,0.325925926
1.01,multiclass,Random Forest,400,10,1,6,20,0.323529412
1.01,multiclass,Random Forest,400,10,1,6,140,0.323529412
1.01,multiclass,Random Forest,400,10,3,6,100,0.323529412
1.01,multiclass,Random Forest,400,10,3,6,140,0.323529412
1.01,multiclass,Random Forest,400,10,3,10,100,0.323529412
1.01,multiclass,Random Forest,100,10,1,2,20,0.318518519
1.01,multiclass,Random Forest,200,10,1,6,20,0.318518519
1.01,multiclass,Random Forest,200,10,1,6,180,0.311111111
1.01,multiclass,Random Forest,200,10,3,6,20,0.311111111
1.01,multiclass,Random Forest,200,10,3,10,180,0.311111111
1.01,multiclass,Random Forest,200,10,3,18,100,0.311111111
1.01,multiclass,Random Forest,100,1,1,6,140,0.310344828
1.01,multiclass,Random Forest,100,1,3,14,20,0.310344828
1.01,multiclass,Random Forest,100,1,3,14,60,0.310344828
1.01,multiclass,Random Forest,100,1,3,14,180,0.310344828
1.01,multiclass,Random Forest,100,1,3,18,20,0.310344828
1.01,multiclass,Random Forest,100,1,3,18,100,0.310344828
1.01,multiclass,Random Forest,200,2,1,2,60,0.310344828
1.01,multiclass,Random Forest,200,2,1,2,140,0.310344828
1.01,multiclass,Random Forest,200,2,1,6,100,0.310344828
1.01,multiclass,Random Forest,200,2,1,6,180,0.310344828
1.01,multiclass,Random Forest,200,2,1,10,100,0.310344828
1.01,multiclass,Random Forest,200,2,1,10,180,0.310344828
1.01,multiclass,Random Forest,200,2,1,14,100,0.310344828
1.01,multiclass,Random Forest,200,2,1,14,180,0.310344828
1.01,multiclass,Random Forest,200,2,1,18,100,0.310344828
1.01,multiclass,Random Forest,200,2,1,18,180,0.310344828
1.01,multiclass,Random Forest,100,2,3,6,20,0.309090909
1.01,multiclass,Random Forest,400,10,1,2,100,0.308823529
1.01,multiclass,Random Forest,400,10,1,2,180,0.308823529
1.01,multiclass,Random Forest,400,10,3,10,60,0.308823529
1.01,multiclass,Random Forest,400,10,3,10,140,0.308823529
1.01,multiclass,Random Forest,400,10,3,18,60,0.308823529
1.01,multiclass,Random Forest,400,10,5,14,20,0.308823529
1.01,multiclass,Random Forest,400,10,5,18,20,0.308823529
1.01,multiclass,Random Forest,100,10,3,6,60,0.307407407
1.01,multiclass,Random Forest,200,10,3,18,20,0.303703704
1.01,multiclass,Random Forest,200,10,3,18,140,0.303703704
1.01,multiclass,Random Forest,100,10,3,10,20,0.296296296
1.01,multiclass,Random Forest,200,10,3,10,140,0.296296296
1.01,multiclass,Random Forest,400,10,1,2,60,0.294117647
1.01,multiclass,Random Forest,400,10,1,10,20,0.294117647
1.01,multiclass,Random Forest,400,10,3,2,20,0.294117647
1.01,multiclass,Random Forest,400,10,3,10,180,0.294117647
1.01,multiclass,Random Forest,400,10,3,18,100,0.294117647
1.01,multiclass,Random Forest,400,10,5,18,60,0.294117647
1.01,multiclass,Random Forest,100,10,3,6,100,0.292592593
1.01,multiclass,Random Forest,100,2,1,2,140,0.290909091
1.01,multiclass,Random Forest,100,2,1,2,180,0.290909091
1.01,multiclass,Random Forest,100,2,1,14,140,0.290909091
1.01,multiclass,Random Forest,100,2,1,14,180,0.290909091
1.01,multiclass,Random Forest,100,2,1,18,140,0.290909091
1.01,multiclass,Random Forest,100,2,1,18,180,0.290909091
1.01,multiclass,Random Forest,200,10,3,6,180,0.288888889
1.01,multiclass,Random Forest,200,10,3,10,100,0.288888889
1.01,multiclass,Random Forest,200,10,3,14,20,0.288888889
1.01,multiclass,Random Forest,200,10,1,2,100,0.281481481
1.01,multiclass,Random Forest,200,10,3,18,60,0.281481481
1.01,multiclass,Random Forest,200,10,5,18,20,0.281481481
1.01,multiclass,Random Forest,400,10,1,2,140,0.279411765
1.01,multiclass,Random Forest,400,10,3,6,180,0.279411765
1.01,multiclass,Random Forest,400,10,3,14,100,0.279411765
1.01,multiclass,Random Forest,400,10,5,14,100,0.279411765
1.01,multiclass,Random Forest,400,10,5,18,100,0.279411765
1.01,multiclass,Random Forest,100,1,1,2,180,0.275862069
1.01,multiclass,Random Forest,100,1,1,6,180,0.275862069
1.01,multiclass,Random Forest,100,1,1,10,140,0.275862069
1.01,multiclass,Random Forest,100,1,1,14,140,0.275862069
1.01,multiclass,Random Forest,100,1,1,18,140,0.275862069
1.01,multiclass,Random Forest,100,1,3,10,100,0.275862069
1.01,multiclass,Random Forest,100,1,3,18,140,0.275862069
1.01,multiclass,Random Forest,100,1,3,18,180,0.275862069
1.01,multiclass,Random Forest,200,2,1,2,100,0.275862069
1.01,multiclass,Random Forest,200,2,1,2,180,0.275862069
1.01,multiclass,Random Forest,200,2,1,6,140,0.275862069
1.01,multiclass,Random Forest,200,2,1,10,20,0.275862069
1.01,multiclass,Random Forest,200,2,1,10,60,0.275862069
1.01,multiclass,Random Forest,200,2,1,14,20,0.275862069
1.01,multiclass,Random Forest,200,2,1,14,60,0.275862069
1.01,multiclass,Random Forest,200,2,1,18,20,0.275862069
1.01,multiclass,Random Forest,200,2,1,18,60,0.275862069
1.01,multiclass,Random Forest,200,10,1,2,180,0.274074074
1.01,multiclass,Random Forest,200,10,3,6,100,0.274074074
1.01,multiclass,Random Forest,100,2,1,10,140,0.272727273
1.01,multiclass,Random Forest,100,2,1,10,180,0.272727273
1.01,multiclass,Random Forest,100,2,3,6,180,0.272727273
1.01,multiclass,Random Forest,100,2,3,18,140,0.272727273
1.01,multiclass,Random Forest,100,2,5,14,20,0.272727273
1.01,multiclass,Random Forest,200,1,3,6,140,0.266666667
1.01,multiclass,Random Forest,200,1,3,6,180,0.266666667
1.01,multiclass,Random Forest,200,1,3,10,180,0.266666667
1.01,multiclass,Random Forest,200,1,3,14,100,0.266666667
1.01,multiclass,Random Forest,200,1,3,18,100,0.266666667
1.01,multiclass,Random Forest,200,1,5,6,20,0.266666667
1.01,multiclass,Random Forest,200,1,5,10,20,0.266666667
1.01,multiclass,Random Forest,200,1,9,6,20,0.266666667
1.01,multiclass,Random Forest,400,2,1,2,20,0.266666667
1.01,multiclass,Random Forest,400,2,1,2,60,0.266666667
1.01,multiclass,Random Forest,400,2,1,2,100,0.266666667
1.01,multiclass,Random Forest,400,2,1,2,140,0.266666667
1.01,multiclass,Random Forest,400,2,1,6,140,0.266666667
1.01,multiclass,Random Forest,400,2,1,6,180,0.266666667
1.01,multiclass,Random Forest,400,2,1,10,140,0.266666667
