experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.5,multiclass,Random Forest,200,200,1,50,400,0.753628582
1.5,multiclass,Random Forest,200,200,1,100,400,0.753628582
1.5,multiclass,Random Forest,200,200,1,200,400,0.753628582
1.5,multiclass,Random Forest,200,200,2,50,200,0.752139933
1.5,multiclass,Random Forest,200,200,1,50,200,0.746929661
1.5,multiclass,Random Forest,200,200,1,100,200,0.746929661
1.5,multiclass,Random Forest,200,200,1,200,200,0.746929661
1.5,multiclass,Random Forest,200,200,4,200,100,0.746929661
1.5,multiclass,Random Forest,200,200,4,200,50,0.746185337
1.5,multiclass,Random Forest,200,200,1,50,100,0.745813175
1.5,multiclass,Random Forest,200,200,1,100,100,0.745813175
1.5,multiclass,Random Forest,200,200,1,200,100,0.745813175
1.5,multiclass,Random Forest,200,200,4,200,3200,0.744324525
1.5,multiclass,Random Forest,200,200,2,50,100,0.742091552
1.5,multiclass,Random Forest,200,200,2,100,50,0.740975065
1.5,multiclass,Random Forest,200,200,2,200,50,0.740975065
1.5,multiclass,Random Forest,200,200,4,200,400,0.740975065
1.5,multiclass,Random Forest,200,200,4,100,3200,0.740230741
1.5,multiclass,Random Forest,200,200,4,200,800,0.739858578
1.5,multiclass,Random Forest,200,200,4,100,200,0.738742092
1.5,multiclass,Random Forest,200,200,4,100,1600,0.73688128
1.5,multiclass,Random Forest,200,200,4,200,1600,0.73688128
1.5,multiclass,Random Forest,200,200,4,100,400,0.735020469
1.5,multiclass,Random Forest,200,200,4,200,200,0.734648307
1.5,multiclass,Random Forest,200,200,4,100,800,0.732043171
1.5,multiclass,Random Forest,200,200,1,50,50,0.731671009
1.5,multiclass,Random Forest,200,200,1,100,50,0.731671009
1.5,multiclass,Random Forest,200,200,1,200,50,0.731671009
1.5,multiclass,Random Forest,200,200,2,50,50,0.731298846
1.5,multiclass,Random Forest,200,200,4,100,50,0.730926684
1.5,multiclass,Random Forest,200,200,4,100,100,0.725716412
1.5,multiclass,Random Forest,200,200,4,50,1600,0.712318571
1.5,multiclass,Random Forest,200,200,4,50,400,0.710085597
1.5,multiclass,Random Forest,200,200,4,50,3200,0.708596948
1.5,multiclass,Random Forest,200,200,4,50,800,0.707852624
1.5,multiclass,Random Forest,400,200,2,100,3200,0.707589286
1.5,multiclass,Random Forest,400,200,2,200,3200,0.707589286
