category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
multiclass,Random Forest,100,10,1,18,180,0.477777778
multiclass,Random Forest,200,1,1,10,60,0.466666667
multiclass,Random Forest,200,1,1,14,60,0.466666667
multiclass,Random Forest,200,1,1,18,60,0.466666667
multiclass,Random Forest,200,1,3,14,60,0.466666667
multiclass,Random Forest,400,2,1,6,100,0.466666667
multiclass,Random Forest,100,10,1,10,180,0.455555556
multiclass,Random Forest,100,10,1,10,140,0.451851852
multiclass,Random Forest,100,10,1,18,140,0.444444444
multiclass,Random Forest,100,10,1,6,180,0.42962963
multiclass,Random Forest,100,10,1,14,140,0.425925926
multiclass,Random Forest,100,10,1,10,60,0.422222222
multiclass,Random Forest,100,10,1,14,180,0.422222222
multiclass,Random Forest,100,10,1,18,100,0.418518519
multiclass,Random Forest,400,10,1,10,60,0.411764706
multiclass,Random Forest,100,10,1,10,100,0.411111111
multiclass,Random Forest,200,1,1,6,140,0.4
multiclass,Random Forest,200,1,1,10,140,0.4
multiclass,Random Forest,200,1,1,10,180,0.4
multiclass,Random Forest,200,1,1,14,140,0.4
multiclass,Random Forest,200,1,1,14,180,0.4
multiclass,Random Forest,200,1,1,18,140,0.4
multiclass,Random Forest,200,1,1,18,180,0.4
multiclass,Random Forest,200,1,3,14,180,0.4
multiclass,Random Forest,200,1,3,18,60,0.4
multiclass,Random Forest,200,1,3,18,180,0.4
multiclass,Random Forest,400,2,1,10,60,0.4
multiclass,Random Forest,400,2,1,14,60,0.4
multiclass,Random Forest,400,2,1,18,60,0.4
multiclass,Random Forest,100,10,1,6,140,0.388888889
multiclass,Random Forest,100,10,1,14,100,0.385185185
multiclass,Random Forest,200,10,1,14,20,0.385185185
multiclass,Random Forest,400,10,1,6,100,0.382352941
multiclass,Random Forest,400,10,1,10,180,0.382352941
multiclass,Random Forest,100,10,1,18,60,0.381481481
multiclass,Random Forest,100,10,3,10,140,0.381481481
multiclass,Random Forest,100,1,3,18,60,0.379310345
multiclass,Random Forest,100,10,1,6,100,0.377777778
multiclass,Random Forest,100,10,3,18,100,0.377777778
multiclass,Random Forest,200,10,1,14,60,0.377777778
multiclass,Random Forest,200,10,1,18,100,0.377777778
multiclass,Random Forest,100,10,3,10,100,0.374074074
multiclass,Random Forest,100,10,1,14,60,0.37037037
multiclass,Random Forest,200,10,1,14,100,0.37037037
multiclass,Random Forest,100,10,1,6,60,0.366666667
multiclass,Random Forest,100,10,3,10,180,0.366666667
multiclass,Random Forest,100,10,1,6,20,0.362962963
multiclass,Random Forest,100,10,3,14,140,0.362962963
multiclass,Random Forest,200,10,1,14,140,0.362962963
multiclass,Random Forest,200,10,1,18,20,0.362962963
multiclass,Random Forest,200,10,1,18,60,0.362962963
multiclass,Random Forest,100,10,1,14,20,0.355555556
multiclass,Random Forest,100,10,3,18,140,0.355555556
multiclass,Random Forest,100,10,3,18,180,0.355555556
multiclass,Random Forest,200,10,1,18,140,0.355555556
multiclass,Random Forest,400,10,1,6,180,0.352941176
multiclass,Random Forest,400,10,1,10,100,0.352941176
multiclass,Random Forest,400,10,1,10,140,0.352941176
multiclass,Random Forest,400,10,1,14,60,0.352941176
multiclass,Random Forest,400,10,1,14,100,0.352941176
multiclass,Random Forest,400,10,1,14,180,0.352941176
multiclass,Random Forest,400,10,1,18,60,0.352941176
multiclass,Random Forest,400,10,1,18,100,0.352941176
multiclass,Random Forest,400,10,1,18,180,0.352941176
multiclass,Random Forest,100,10,1,2,180,0.351851852
multiclass,Random Forest,100,10,3,14,100,0.351851852
multiclass,Random Forest,100,10,3,18,60,0.351851852
multiclass,Random Forest,100,10,1,2,60,0.348148148
multiclass,Random Forest,100,10,1,10,20,0.348148148
multiclass,Random Forest,100,10,3,18,20,0.348148148
multiclass,Random Forest,200,10,1,6,60,0.348148148
multiclass,Random Forest,200,10,1,10,100,0.348148148
multiclass,Random Forest,200,10,1,10,180,0.348148148
multiclass,Random Forest,200,10,1,14,180,0.348148148
multiclass,Random Forest,100,1,1,2,100,0.344827586
multiclass,Random Forest,100,1,1,2,140,0.344827586
multiclass,Random Forest,100,1,3,10,20,0.344827586
multiclass,Random Forest,100,1,3,14,100,0.344827586
multiclass,Random Forest,200,2,1,6,60,0.344827586
multiclass,Random Forest,200,2,1,10,140,0.344827586
multiclass,Random Forest,200,2,1,14,140,0.344827586
multiclass,Random Forest,200,2,1,18,140,0.344827586
multiclass,Random Forest,100,10,1,2,140,0.344444444
multiclass,Random Forest,100,10,1,18,20,0.340740741
multiclass,Random Forest,100,10,3,10,60,0.340740741
multiclass,Random Forest,200,10,1,6,100,0.340740741
multiclass,Random Forest,200,10,1,18,180,0.340740741
multiclass,Random Forest,200,10,3,14,180,0.340740741
multiclass,Random Forest,400,10,1,6,60,0.338235294
multiclass,Random Forest,400,10,1,14,140,0.338235294
multiclass,Random Forest,400,10,1,18,140,0.338235294
multiclass,Random Forest,100,10,3,6,140,0.337037037
multiclass,Random Forest,100,10,3,14,180,0.337037037
multiclass,Random Forest,200,1,1,6,60,0.333333333
multiclass,Random Forest,200,1,1,6,100,0.333333333
multiclass,Random Forest,200,1,1,6,180,0.333333333
multiclass,Random Forest,200,1,1,10,100,0.333333333
multiclass,Random Forest,200,1,1,14,100,0.333333333
multiclass,Random Forest,200,1,1,18,100,0.333333333
multiclass,Random Forest,200,1,3,10,60,0.333333333
multiclass,Random Forest,200,1,3,10,100,0.333333333
multiclass,Random Forest,200,1,3,10,140,0.333333333
multiclass,Random Forest,200,1,3,14,140,0.333333333
multiclass,Random Forest,200,1,3,18,140,0.333333333
multiclass,Random Forest,200,10,1,6,140,0.333333333
multiclass,Random Forest,200,10,1,10,20,0.333333333
multiclass,Random Forest,200,10,1,10,60,0.333333333
multiclass,Random Forest,200,10,3,14,100,0.333333333
multiclass,Random Forest,200,10,3,18,180,0.333333333
multiclass,Random Forest,400,2,1,2,180,0.333333333
multiclass,Random Forest,400,2,1,6,20,0.333333333
multiclass,Random Forest,400,2,1,6,60,0.333333333
multiclass,Random Forest,400,2,1,10,20,0.333333333
multiclass,Random Forest,400,2,1,10,100,0.333333333
multiclass,Random Forest,400,2,1,14,20,0.333333333
multiclass,Random Forest,400,2,1,14,100,0.333333333
multiclass,Random Forest,400,2,1,18,20,0.333333333
multiclass,Random Forest,400,2,1,18,100,0.333333333
multiclass,Random Forest,400,2,3,2,20,0.333333333
multiclass,Random Forest,400,2,3,6,20,0.333333333
multiclass,Random Forest,400,2,3,10,20,0.333333333
multiclass,Random Forest,400,2,3,14,20,0.333333333
multiclass,Random Forest,400,2,3,18,20,0.333333333
multiclass,Random Forest,100,10,1,2,100,0.32962963
multiclass,Random Forest,100,10,3,6,180,0.32962963
multiclass,Random Forest,100,10,3,14,20,0.32962963
multiclass,Random Forest,100,10,3,14,60,0.32962963
multiclass,Random Forest,200,10,1,10,140,0.325925926
multiclass,Random Forest,200,10,3,14,140,0.325925926
multiclass,Random Forest,400,10,1,6,20,0.323529412
multiclass,Random Forest,400,10,1,6,140,0.323529412
multiclass,Random Forest,400,10,3,6,100,0.323529412
multiclass,Random Forest,400,10,3,6,140,0.323529412
multiclass,Random Forest,400,10,3,10,100,0.323529412
multiclass,Random Forest,100,10,1,2,20,0.318518519
multiclass,Random Forest,200,10,1,6,20,0.318518519
multiclass,Random Forest,200,10,1,6,180,0.311111111
multiclass,Random Forest,200,10,3,6,20,0.311111111
multiclass,Random Forest,200,10,3,10,180,0.311111111
multiclass,Random Forest,200,10,3,18,100,0.311111111
multiclass,Random Forest,100,1,1,6,140,0.310344828
multiclass,Random Forest,100,1,3,14,20,0.310344828
multiclass,Random Forest,100,1,3,14,60,0.310344828
multiclass,Random Forest,100,1,3,14,180,0.310344828
multiclass,Random Forest,100,1,3,18,20,0.310344828
multiclass,Random Forest,100,1,3,18,100,0.310344828
multiclass,Random Forest,200,2,1,2,60,0.310344828
multiclass,Random Forest,200,2,1,2,140,0.310344828
multiclass,Random Forest,200,2,1,6,100,0.310344828
multiclass,Random Forest,200,2,1,6,180,0.310344828
multiclass,Random Forest,200,2,1,10,100,0.310344828
multiclass,Random Forest,200,2,1,10,180,0.310344828
multiclass,Random Forest,200,2,1,14,100,0.310344828
multiclass,Random Forest,200,2,1,14,180,0.310344828
multiclass,Random Forest,200,2,1,18,100,0.310344828
multiclass,Random Forest,200,2,1,18,180,0.310344828
multiclass,Random Forest,100,2,3,6,20,0.309090909
multiclass,Random Forest,400,10,1,2,100,0.308823529
multiclass,Random Forest,400,10,1,2,180,0.308823529
multiclass,Random Forest,400,10,3,10,60,0.308823529
multiclass,Random Forest,400,10,3,10,140,0.308823529
multiclass,Random Forest,400,10,3,18,60,0.308823529
multiclass,Random Forest,400,10,5,14,20,0.308823529
multiclass,Random Forest,400,10,5,18,20,0.308823529
multiclass,Random Forest,100,10,3,6,60,0.307407407
multiclass,Random Forest,200,10,3,18,20,0.303703704
multiclass,Random Forest,200,10,3,18,140,0.303703704
multiclass,Random Forest,100,10,3,10,20,0.296296296
multiclass,Random Forest,200,10,3,10,140,0.296296296
multiclass,Random Forest,400,10,1,2,60,0.294117647
multiclass,Random Forest,400,10,1,10,20,0.294117647
multiclass,Random Forest,400,10,3,2,20,0.294117647
multiclass,Random Forest,400,10,3,10,180,0.294117647
multiclass,Random Forest,400,10,3,18,100,0.294117647
multiclass,Random Forest,400,10,5,18,60,0.294117647
multiclass,Random Forest,100,10,3,6,100,0.292592593
multiclass,Random Forest,100,2,1,2,140,0.290909091
multiclass,Random Forest,100,2,1,2,180,0.290909091
multiclass,Random Forest,100,2,1,14,140,0.290909091
multiclass,Random Forest,100,2,1,14,180,0.290909091
multiclass,Random Forest,100,2,1,18,140,0.290909091
multiclass,Random Forest,100,2,1,18,180,0.290909091
multiclass,Random Forest,200,10,3,6,180,0.288888889
multiclass,Random Forest,200,10,3,10,100,0.288888889
multiclass,Random Forest,200,10,3,14,20,0.288888889
multiclass,Random Forest,200,10,1,2,100,0.281481481
multiclass,Random Forest,200,10,3,18,60,0.281481481
multiclass,Random Forest,200,10,5,18,20,0.281481481
multiclass,Random Forest,400,10,1,2,140,0.279411765
multiclass,Random Forest,400,10,3,6,180,0.279411765
multiclass,Random Forest,400,10,3,14,100,0.279411765
multiclass,Random Forest,400,10,5,14,100,0.279411765
multiclass,Random Forest,400,10,5,18,100,0.279411765
multiclass,Random Forest,100,1,1,2,180,0.275862069
multiclass,Random Forest,100,1,1,6,180,0.275862069
multiclass,Random Forest,100,1,1,10,140,0.275862069
multiclass,Random Forest,100,1,1,14,140,0.275862069
multiclass,Random Forest,100,1,1,18,140,0.275862069
