experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.01,multiclass,Logistic Regression,"(314, 400)",100,1,1,0.1,0.01,,0,200,0.22580645161290322,species_recall
16.01,multiclass,Logistic Regression,"(314, 800)",100,1,2,0.1,0.01,,0,200,0.2064516129032258,species_recall
16.01,multiclass,Logistic Regression,"(314, 4820)",100,1,4,0.1,0.01,,0,200,0.23870967741935484,species_recall
16.01,multiclass,Logistic Regression,"(314, 6499)",100,1,6,0.1,0.01,,0,200,0.24516129032258063,species_recall
16.01,multiclass,Logistic Regression,"(314, 5341)",100,1,8,0.1,0.01,,0,200,0.23870967741935484,species_recall
16.01,multiclass,Logistic Regression,"(314, 4476)",100,1,10,0.1,0.01,,0,200,0.22580645161290322,species_recall
16.01,multiclass,Logistic Regression,"(314, 3586)",100,1,12,0.1,0.01,,0,200,0.23225806451612904,species_recall
16.01,multiclass,Logistic Regression,"(3073, 400)",100,10,1,0.1,0.01,,0,200,0.1188118811881188,species_recall
16.01,multiclass,Logistic Regression,"(3073, 800)",100,10,2,0.1,0.01,,0,200,0.3458745874587459,species_recall
16.01,multiclass,Logistic Regression,"(3073, 6399)",100,10,4,0.1,0.01,,0,200,0.3557755775577558,species_recall
16.01,multiclass,Logistic Regression,"(3073, 35739)",100,10,6,0.1,0.01,,0,200,0.29042904290429045,species_recall
16.01,multiclass,Logistic Regression,"(3073, 46025)",100,10,8,0.1,0.01,,0,200,0.27920792079207923,species_recall
16.01,multiclass,Logistic Regression,"(3073, 40967)",100,10,10,0.1,0.01,,0,200,0.32937293729372935,species_recall
16.01,multiclass,Logistic Regression,"(3073, 33010)",100,10,12,0.1,0.01,,0,200,0.31683168316831684,species_recall
16.01,multiclass,Logistic Regression,"(30676, 400)",100,100,1,0.1,0.01,,0,200,0.26373262739907344,species_recall
16.01,multiclass,Logistic Regression,"(30676, 800)",100,100,2,0.1,0.01,,0,200,0.26896095301125084,species_recall
16.01,multiclass,Logistic Regression,"(30676, 6400)",100,100,4,0.1,0.01,,0,200,0.26082064857710124,species_recall
16.01,multiclass,Logistic Regression,"(30676, 63114)",100,100,6,0.1,0.01,,0,200,0.29086697551290536,species_recall
16.01,multiclass,Logistic Regression,"(30676, 219526)",100,100,8,0.1,0.01,,0,200,0.2625413633355394,species_recall
16.01,multiclass,Logistic Regression,"(30676, 248138)",100,100,10,0.1,0.01,,0,200,0.45671740569159497,species_recall
16.01,multiclass,Logistic Regression,"(30676, 206319)",100,100,12,0.1,0.01,,0,200,0.3907346128391794,species_recall
16.01,multiclass,Logistic Regression,"(61353, 400)",100,200,1,0.1,0.01,,0,200,0.26403918064793674,species_recall
16.01,multiclass,Logistic Regression,"(61353, 800)",100,200,2,0.1,0.01,,0,200,0.26059763724808893,species_recall
16.01,multiclass,Logistic Regression,"(61353, 6400)",100,200,4,0.1,0.01,,0,200,0.24362156259307058,species_recall
16.01,multiclass,Logistic Regression,"(61353, 64286)",100,200,6,0.1,0.01,,0,200,0.30467586617690856,species_recall
16.01,multiclass,Logistic Regression,"(61353, 270019)",100,200,8,0.1,0.01,,0,200,0.30629736258645224,species_recall
16.01,multiclass,Logistic Regression,"(61353, 327905)",100,200,10,0.1,0.01,,0,200,0.3084483272113571,species_recall
16.01,multiclass,Logistic Regression,"(61353, 275703)",100,200,12,0.1,0.01,,0,200,0.2774744366127271,species_recall
16.01,multiclass,Logistic Regression,"(122706, 400)",100,400,1,0.1,0.01,,0,200,0.26374135477679606,species_recall
16.01,multiclass,Logistic Regression,"(122706, 800)",100,400,2,0.1,0.01,,0,200,0.2616400277970813,species_recall
16.01,multiclass,Logistic Regression,"(122706, 6400)",100,400,4,0.1,0.01,,0,200,0.02965022006022701,species_recall
16.01,multiclass,Logistic Regression,"(122706, 64570)",100,400,6,0.1,0.01,,0,200,0.027399980144941924,species_recall
16.01,multiclass,Logistic Regression,"(122706, 293319)",100,400,8,0.1,0.01,,0,200,0.06699427512492141,species_recall
16.01,multiclass,Logistic Regression,"(122706, 368355)",100,400,10,0.1,0.01,,0,200,0.1892517952281677,species_recall
16.01,multiclass,Logistic Regression,"(122706, 311401)",100,400,12,0.1,0.01,,0,200,0.15387670008934776,species_recall
16.01,multiclass,Logistic Regression,"(160, 800)",200,1,1,0.1,0.01,,0,200,0.25,species_recall
16.01,multiclass,Logistic Regression,"(160, 1600)",200,1,2,0.1,0.01,,0,200,0.3875,species_recall
16.01,multiclass,Logistic Regression,"(160, 6879)",200,1,4,0.1,0.01,,0,200,0.2375,species_recall
16.01,multiclass,Logistic Regression,"(160, 7152)",200,1,6,0.1,0.01,,0,200,0.2125,species_recall
16.01,multiclass,Logistic Regression,"(160, 5698)",200,1,8,0.1,0.01,,0,200,0.2625,species_recall
16.01,multiclass,Logistic Regression,"(160, 4576)",200,1,10,0.1,0.01,,0,200,0.25,species_recall
16.01,multiclass,Logistic Regression,"(160, 3664)",200,1,12,0.1,0.01,,0,200,0.25,species_recall
16.01,multiclass,Logistic Regression,"(1541, 800)",200,10,1,0.1,0.01,,0,200,0.13570487483530963,species_recall
16.01,multiclass,Logistic Regression,"(1541, 1600)",200,10,2,0.1,0.01,,0,200,0.3241106719367589,species_recall
16.01,multiclass,Logistic Regression,"(1541, 12719)",200,10,4,0.1,0.01,,0,200,0.26877470355731226,species_recall
16.01,multiclass,Logistic Regression,"(1541, 48664)",200,10,6,0.1,0.01,,0,200,0.2450592885375494,species_recall
16.01,multiclass,Logistic Regression,"(1541, 51448)",200,10,8,0.1,0.01,,0,200,0.22924901185770752,species_recall
16.01,multiclass,Logistic Regression,"(1541, 42734)",200,10,10,0.1,0.01,,0,200,0.2463768115942029,species_recall
16.01,multiclass,Logistic Regression,"(1541, 34316)",200,10,12,0.1,0.01,,0,200,0.2845849802371542,species_recall
16.01,multiclass,Logistic Regression,"(15341, 800)",200,100,1,0.1,0.01,,0,200,0.2682281328569538,species_recall
16.01,multiclass,Logistic Regression,"(15341, 1600)",200,100,2,0.1,0.01,,0,200,0.06550218340611354,species_recall
16.01,multiclass,Logistic Regression,"(15341, 12800)",200,100,4,0.1,0.01,,0,200,0.2612147677649861,species_recall
16.01,multiclass,Logistic Regression,"(15341, 122529)",200,100,6,0.1,0.01,,0,200,0.5111816858541749,species_recall
16.01,multiclass,Logistic Regression,"(15341, 319161)",200,100,8,0.1,0.01,,0,200,0.45136959110758235,species_recall
16.01,multiclass,Logistic Regression,"(15341, 317180)",200,100,10,0.1,0.01,,0,200,0.4512372634643377,species_recall
16.01,multiclass,Logistic Regression,"(15341, 260143)",200,100,12,0.1,0.01,,0,200,0.4421066560804552,species_recall
16.01,multiclass,Logistic Regression,"(30676, 800)",200,200,1,0.1,0.01,,0,200,0.26194573130377236,species_recall
16.01,multiclass,Logistic Regression,"(30676, 1600)",200,200,2,0.1,0.01,,0,200,0.2655195234943746,species_recall
16.01,multiclass,Logistic Regression,"(30676, 12800)",200,200,4,0.1,0.01,,0,200,0.3232296492389146,species_recall
16.01,multiclass,Logistic Regression,"(30676, 129801)",200,200,6,0.1,0.01,,0,200,0.31568497683653207,species_recall
16.01,multiclass,Logistic Regression,"(30676, 448601)",200,200,8,0.1,0.01,,0,200,0.442753143613501,species_recall
16.01,multiclass,Logistic Regression,"(30676, 484637)",200,200,10,0.1,0.01,,0,200,0.2904037061548643,species_recall
16.01,multiclass,Logistic Regression,"(30676, 402455)",200,200,12,0.1,0.01,,0,200,0.30211780277961614,species_recall
16.01,multiclass,Logistic Regression,"(61353, 800)",200,400,1,0.1,0.01,,0,200,0.2639729971210166,species_recall
16.01,multiclass,Logistic Regression,"(61353, 1600)",200,400,2,0.1,0.01,,0,200,0.26307951950759456,species_recall
16.01,multiclass,Logistic Regression,"(61353, 12800)",200,400,4,0.1,0.01,,0,200,0.2775737119031073,species_recall
16.01,multiclass,Logistic Regression,"(61353, 132271)",200,400,6,0.1,0.01,,0,200,0.32697971474899895,species_recall
16.01,multiclass,Logistic Regression,"(61353, 547960)",200,400,8,0.1,0.01,,0,200,0.2889903702968331,species_recall
16.01,multiclass,Logistic Regression,"(61353, 633117)",200,400,10,0.1,0.01,,0,200,0.2992819087329164,species_recall
16.01,multiclass,Logistic Regression,"(61353, 531293)",200,400,12,0.1,0.01,,0,200,0.3646381415665641,species_recall
