experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.04,multiclass,Logistic Regression (sklearn),"(314, 400)",100,1,1,l2,auto,,lbfgs,0.33548387096774196,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 800)",100,1,2,l2,auto,,lbfgs,0.34838709677419355,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 4879)",100,1,4,l2,auto,,lbfgs,0.3225806451612903,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 6749)",100,1,6,l2,auto,,lbfgs,0.25161290322580643,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 5543)",100,1,8,l2,auto,,lbfgs,0.25806451612903225,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 4651)",100,1,10,l2,auto,,lbfgs,0.25806451612903225,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(314, 3724)",100,1,12,l2,auto,,lbfgs,0.2709677419354839,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 400)",100,10,1,l2,auto,,lbfgs,0.29306930693069305,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 800)",100,10,2,l2,auto,,lbfgs,0.3214521452145215,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 6397)",100,10,4,l2,auto,,lbfgs,0.3636963696369637,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 37079)",100,10,6,l2,auto,,lbfgs,0.3207920792079208,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 48342)",100,10,8,l2,auto,,lbfgs,0.30825082508250823,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 42999)",100,10,10,l2,auto,,lbfgs,0.31155115511551157,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(3073, 34611)",100,10,12,l2,auto,,lbfgs,0.3095709570957096,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 400)",100,100,1,l2,auto,,lbfgs,0.3986101919258769,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 800)",100,100,2,l2,auto,,lbfgs,0.4337524818001324,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 6400)",100,100,4,l2,auto,,lbfgs,0.6615486432825943,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 63349)",100,100,6,l2,auto,,lbfgs,0.6866975512905361,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 225398)",100,100,8,l2,auto,,lbfgs,0.6590337524818002,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 256195)",100,100,10,l2,auto,,lbfgs,0.6642620780939775,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 212998)",100,100,12,l2,auto,,lbfgs,0.6503639973527465,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 400)",100,200,1,l2,auto,,lbfgs,0.41444124557397666,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 800)",100,200,2,l2,auto,,lbfgs,0.45842019921241606,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 6400)",100,200,4,l2,auto,,lbfgs,0.7505542870379562,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 64293)",100,200,6,l2,auto,,lbfgs,0.8355008438399683,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 273678)",100,200,8,l2,auto,,lbfgs,0.8262351500711473,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 333931)",100,200,10,l2,auto,,lbfgs,0.8181607597868891,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(61353, 280826)",100,200,12,l2,auto,,lbfgs,0.8182600350772693,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 400)",100,400,1,l2,auto,,lbfgs,0.41780005956517424,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 800)",100,400,2,l2,auto,,lbfgs,0.45569012872695985,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 6400)",100,400,4,l2,auto,,lbfgs,0.8008041298520798,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 64561)",100,400,6,l2,auto,,lbfgs,0.9328733578212383,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 294030)",100,400,8,l2,auto,,lbfgs,0.9270657533339952,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 369568)",100,400,10,l2,auto,,lbfgs,0.9273304874416758,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(122706, 312415)",100,400,12,l2,auto,,lbfgs,0.9270492074522652,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 800)",200,1,1,l2,auto,,lbfgs,0.3,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 1600)",200,1,2,l2,auto,,lbfgs,0.3125,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 7169)",200,1,4,l2,auto,,lbfgs,0.2625,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 7548)",200,1,6,l2,auto,,lbfgs,0.175,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 5973)",200,1,8,l2,auto,,lbfgs,0.2,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 4799)",200,1,10,l2,auto,,lbfgs,0.2,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(160, 3840)",200,1,12,l2,auto,,lbfgs,0.175,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 800)",200,10,1,l2,auto,,lbfgs,0.2635046113306983,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 1600)",200,10,2,l2,auto,,lbfgs,0.38866930171277997,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 12740)",200,10,4,l2,auto,,lbfgs,0.36495388669301715,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 50227)",200,10,6,l2,auto,,lbfgs,0.3214756258234519,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 53393)",200,10,8,l2,auto,,lbfgs,0.310935441370224,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 44337)",200,10,10,l2,auto,,lbfgs,0.2938076416337286,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(1541, 35596)",200,10,12,l2,auto,,lbfgs,0.2938076416337286,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 800)",200,100,1,l2,auto,,lbfgs,0.4239777689559349,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 1600)",200,100,2,l2,auto,,lbfgs,0.487230382426889,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 12800)",200,100,4,l2,auto,,lbfgs,0.6120153500066163,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 123334)",200,100,6,l2,auto,,lbfgs,0.5973269816064576,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 329235)",200,100,8,l2,auto,,lbfgs,0.5510123064708218,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 328318)",200,100,10,l2,auto,,lbfgs,0.5287812624057165,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(15341, 269263)",200,100,12,l2,auto,,lbfgs,0.5330157469895461,species_recall
17.04,multiclass,Logistic Regression (sklearn),"(30676, 800)",200,200,1,l2,auto,,lbfgs,0.4508934480476506,species_recall
