experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.03,multiclass,Logistic Regression (sklearn),"(314, 400)",100,1,1,l2,auto,balanced,lbfgs,0.25806451612903225,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 800)",100,1,2,l2,auto,balanced,lbfgs,0.2645161290322581,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 4941)",100,1,4,l2,auto,balanced,lbfgs,0.27741935483870966,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 6755)",100,1,6,l2,auto,balanced,lbfgs,0.27741935483870966,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 5562)",100,1,8,l2,auto,balanced,lbfgs,0.2838709677419355,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 4674)",100,1,10,l2,auto,balanced,lbfgs,0.25161290322580643,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(314, 3741)",100,1,12,l2,auto,balanced,lbfgs,0.2129032258064516,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 400)",100,10,1,l2,auto,balanced,lbfgs,0.24092409240924093,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 800)",100,10,2,l2,auto,balanced,lbfgs,0.26666666666666666,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 6399)",100,10,4,l2,auto,balanced,lbfgs,0.38481848184818485,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 37042)",100,10,6,l2,auto,balanced,lbfgs,0.34917491749174917,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 48309)",100,10,8,l2,auto,balanced,lbfgs,0.3174917491749175,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 43056)",100,10,10,l2,auto,balanced,lbfgs,0.3287128712871287,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(3073, 34667)",100,10,12,l2,auto,balanced,lbfgs,0.333993399339934,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 400)",100,100,1,l2,auto,balanced,lbfgs,0.2897418927862343,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 800)",100,100,2,l2,auto,balanced,lbfgs,0.3404367968232958,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 6400)",100,100,4,l2,auto,balanced,lbfgs,0.6227001985440106,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 63299)",100,100,6,l2,auto,balanced,lbfgs,0.686168100595632,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 224952)",100,100,8,l2,auto,balanced,lbfgs,0.671409662475182,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 255562)",100,100,10,l2,auto,balanced,lbfgs,0.6694242223692919,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 212440)",100,100,12,l2,auto,balanced,lbfgs,0.6608868299139643,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 400)",100,200,1,l2,auto,balanced,lbfgs,0.28799761739303087,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 800)",100,200,2,l2,auto,balanced,lbfgs,0.35510771369006255,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 6400)",100,200,4,l2,auto,balanced,lbfgs,0.7097521426916841,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 64347)",100,200,6,l2,auto,balanced,lbfgs,0.8311658228266985,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 273926)",100,200,8,l2,auto,balanced,lbfgs,0.8249445712962044,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 334075)",100,200,10,l2,auto,balanced,lbfgs,0.8206757338098547,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(61353, 280993)",100,200,12,l2,auto,balanced,lbfgs,0.8206757338098547,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 400)",100,400,1,l2,auto,balanced,lbfgs,0.2959396406234488,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 800)",100,400,2,l2,auto,balanced,lbfgs,0.36031966643502433,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 6400)",100,400,4,l2,auto,balanced,lbfgs,0.7692345875111685,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 64568)",100,400,6,l2,auto,balanced,lbfgs,0.9328568119395082,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 293749)",100,400,8,l2,auto,balanced,lbfgs,0.9311856778847745,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 369081)",100,400,10,l2,auto,balanced,lbfgs,0.9316820543366756,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(122706, 312010)",100,400,12,l2,auto,balanced,lbfgs,0.931450411992455,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 800)",200,1,1,l2,auto,balanced,lbfgs,0.25,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 1600)",200,1,2,l2,auto,balanced,lbfgs,0.325,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 7078)",200,1,4,l2,auto,balanced,lbfgs,0.2375,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 7442)",200,1,6,l2,auto,balanced,lbfgs,0.35,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 5930)",200,1,8,l2,auto,balanced,lbfgs,0.2625,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 4757)",200,1,10,l2,auto,balanced,lbfgs,0.3125,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(160, 3807)",200,1,12,l2,auto,balanced,lbfgs,0.2625,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 800)",200,10,1,l2,auto,balanced,lbfgs,0.29907773386034253,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 1600)",200,10,2,l2,auto,balanced,lbfgs,0.34914361001317523,species_recall
