experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.03,multiclass,Logistic Regression (sklearn),"(160, 3823)",200,1,12,l2,auto,balanced,lbfgs,0.3,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 800)",200,10,1,l2,auto,balanced,lbfgs,0.33201581027667987,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 1600)",200,10,2,l2,auto,balanced,lbfgs,0.3689064558629776,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 12732)",200,10,4,l2,auto,balanced,lbfgs,0.3926218708827404,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 50435)",200,10,6,l2,auto,balanced,lbfgs,0.30566534914361,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 53456)",200,10,8,l2,auto,balanced,lbfgs,0.2898550724637681,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 44423)",200,10,10,l2,auto,balanced,lbfgs,0.2951251646903821,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(1541, 35665)",200,10,12,l2,auto,balanced,lbfgs,0.2779973649538867,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 800)",200,100,1,l2,auto,balanced,lbfgs,0.3199682413656213,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 1600)",200,100,2,l2,auto,balanced,lbfgs,0.42675664946407305,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 12800)",200,100,4,l2,auto,balanced,lbfgs,0.5885933571523091,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 123608)",200,100,6,l2,auto,balanced,lbfgs,0.6023554320497552,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 330174)",200,100,8,l2,auto,balanced,lbfgs,0.5402937673680032,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 329470)",200,100,10,l2,auto,balanced,lbfgs,0.5353976445679502,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(15341, 270226)",200,100,12,l2,auto,balanced,lbfgs,0.5225618631732168,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 800)",200,200,1,l2,auto,balanced,lbfgs,0.3477167438782263,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 1600)",200,200,2,l2,auto,balanced,lbfgs,0.44626075446724023,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 12800)",200,200,4,l2,auto,balanced,lbfgs,0.7168762409000662,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 130238)",200,200,6,l2,auto,balanced,lbfgs,0.7360026472534745,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 460610)",200,200,8,l2,auto,balanced,lbfgs,0.6894771674387823,species_recall
17.03,multiclass,Logistic Regression (sklearn),"(30676, 500171)",200,200,10,l2,auto,balanced,lbfgs,0.6795499669093316,species_recall
