experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
11.02,multiclass,Random Forest,"(10908, 44535)",100,200,6,30,50,0.4121697059918124,species_recall
11.02,multiclass,Random Forest,"(10908, 70486)",100,200,8,30,50,0.30182359508745815,species_recall
11.02,multiclass,Random Forest,"(10908, 65868)",100,200,10,30,50,0.27372534425009304,species_recall
11.02,multiclass,Random Forest,"(10908, 53440)",100,200,12,30,50,0.26553777446966875,species_recall
11.02,multiclass,Random Forest,"(21817, 400)",100,400,1,30,50,0.9644551967991067,species_recall
11.02,multiclass,Random Forest,"(21817, 800)",100,400,2,30,50,0.9578487019633386,species_recall
11.02,multiclass,Random Forest,"(21817, 6400)",100,400,4,30,50,0.7202009863217642,species_recall
11.02,multiclass,Random Forest,"(21817, 46679)",100,400,6,30,50,0.436121708383735,species_recall
11.02,multiclass,Random Forest,"(21817, 77834)",100,400,8,30,50,0.3059458453521913,species_recall
11.02,multiclass,Random Forest,"(21817, 73601)",100,400,10,30,50,0.26807481157532337,species_recall
11.02,multiclass,Random Forest,"(21817, 59782)",100,400,12,30,50,0.2641667442076859,species_recall
11.02,multiclass,Random Forest,"(29, 800)",200,1,1,30,50,0.06666666666666667,species_recall
11.02,multiclass,Random Forest,"(29, 1442)",200,1,2,30,50,0.26666666666666666,species_recall
11.02,multiclass,Random Forest,"(29, 1929)",200,1,4,30,50,0.3333333333333333,species_recall
11.02,multiclass,Random Forest,"(29, 1435)",200,1,6,30,50,0.13333333333333333,species_recall
11.02,multiclass,Random Forest,"(29, 1099)",200,1,8,30,50,0.06666666666666667,species_recall
11.02,multiclass,Random Forest,"(29, 880)",200,1,10,30,50,0.13333333333333333,species_recall
11.02,multiclass,Random Forest,"(29, 704)",200,1,12,30,50,0.06666666666666667,species_recall
11.02,multiclass,Random Forest,"(274, 800)",200,10,1,30,50,0.24444444444444444,species_recall
11.02,multiclass,Random Forest,"(274, 1600)",200,10,2,30,50,0.31851851851851853,species_recall
11.02,multiclass,Random Forest,"(274, 9033)",200,10,4,30,50,0.2814814814814815,species_recall
11.02,multiclass,Random Forest,"(274, 11992)",200,10,6,30,50,0.22962962962962963,species_recall
11.02,multiclass,Random Forest,"(274, 9897)",200,10,8,30,50,0.2222222222222222,species_recall
11.02,multiclass,Random Forest,"(274, 7994)",200,10,10,30,50,0.2740740740740741,species_recall
11.02,multiclass,Random Forest,"(274, 6399)",200,10,12,30,50,0.2,species_recall
11.02,multiclass,Random Forest,"(2727, 800)",200,100,1,30,50,0.5632440476190477,species_recall
11.02,multiclass,Random Forest,"(2727, 1600)",200,100,2,30,50,0.5654761904761905,species_recall
11.02,multiclass,Random Forest,"(2727, 12768)",200,100,4,30,50,0.4947916666666667,species_recall
11.02,multiclass,Random Forest,"(2727, 61243)",200,100,6,30,50,0.3162202380952381,species_recall
11.02,multiclass,Random Forest,"(2727, 72627)",200,100,8,30,50,0.26413690476190477,species_recall
11.02,multiclass,Random Forest,"(2727, 61651)",200,100,10,30,50,0.27306547619047616,species_recall
11.02,multiclass,Random Forest,"(2727, 49652)",200,100,12,30,50,0.25,species_recall
11.02,multiclass,Random Forest,"(5454, 800)",200,200,1,30,50,0.7030145143282471,species_recall
11.02,multiclass,Random Forest,"(5454, 1600)",200,200,2,30,50,0.7238556010420544,species_recall
11.02,multiclass,Random Forest,"(5454, 12797)",200,200,4,30,50,0.6017863788611835,species_recall
11.02,multiclass,Random Forest,"(5454, 78462)",200,200,6,30,50,0.3688128023818385,species_recall
11.02,multiclass,Random Forest,"(5454, 109166)",200,200,8,30,50,0.27726088574618535,species_recall
11.02,multiclass,Random Forest,"(5454, 95244)",200,200,10,30,50,0.27093412727949384,species_recall
11.02,multiclass,Random Forest,"(5454, 76943)",200,200,12,30,50,0.27651656122069224,species_recall
11.02,multiclass,Random Forest,"(10908, 800)",200,400,1,30,50,0.861183475995534,species_recall
11.02,multiclass,Random Forest,"(10908, 1600)",200,400,2,30,50,0.870487532564198,species_recall
