experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.05,multiclass,Logistic Regression,"(61353, 280424)",100,200,12,0.1,0.01,none,0,200,0.308051226,species_recall
16.05,multiclass,Logistic Regression,"(122706, 400)",100,400,1,0.1,0.01,none,0,200,0.265346305,species_recall
16.05,multiclass,Logistic Regression,"(122706, 800)",100,400,2,0.1,0.01,none,0,200,0.263377345,species_recall
16.05,multiclass,Logistic Regression,"(122706, 6400)",100,400,4,0.1,0.01,none,0,200,0.029468215,species_recall
16.05,multiclass,Logistic Regression,"(122706, 64571)",100,400,6,0.1,0.01,none,0,200,0.261259473,species_recall
16.05,multiclass,Logistic Regression,"(122706, 293427)",100,400,8,0.1,0.01,none,0,200,0.028210728,species_recall
16.05,multiclass,Logistic Regression,"(122706, 368575)",100,400,10,0.1,0.01,none,0,200,0.02860783,species_recall
16.05,multiclass,Logistic Regression,"(122706, 311570)",100,400,12,0.1,0.01,none,0,200,0.073149343,species_recall
16.05,multiclass,Logistic Regression,"(160, 800)",200,1,1,0.1,0.01,none,0,200,0.275,species_recall
16.05,multiclass,Logistic Regression,"(160, 1600)",200,1,2,0.1,0.01,none,0,200,0.2,species_recall
16.05,multiclass,Logistic Regression,"(160, 7143)",200,1,4,0.1,0.01,none,0,200,0.2,species_recall
16.05,multiclass,Logistic Regression,"(160, 7496)",200,1,6,0.1,0.01,none,0,200,0.25,species_recall
16.05,multiclass,Logistic Regression,"(160, 5972)",200,1,8,0.1,0.01,none,0,200,0.2625,species_recall
16.05,multiclass,Logistic Regression,"(160, 4797)",200,1,10,0.1,0.01,none,0,200,0.225,species_recall
16.05,multiclass,Logistic Regression,"(160, 3838)",200,1,12,0.1,0.01,none,0,200,0.2125,species_recall
16.05,multiclass,Logistic Regression,"(1541, 800)",200,10,1,0.1,0.01,none,0,200,0.148880105,species_recall
16.05,multiclass,Logistic Regression,"(1541, 1600)",200,10,2,0.1,0.01,none,0,200,0.335968379,species_recall
16.05,multiclass,Logistic Regression,"(1541, 12723)",200,10,4,0.1,0.01,none,0,200,0.289855072,species_recall
16.05,multiclass,Logistic Regression,"(1541, 50181)",200,10,6,0.1,0.01,none,0,200,0.241106719,species_recall
16.05,multiclass,Logistic Regression,"(1541, 53229)",200,10,8,0.1,0.01,none,0,200,0.266139657,species_recall
16.05,multiclass,Logistic Regression,"(1541, 44287)",200,10,10,0.1,0.01,none,0,200,0.242424242,species_recall
16.05,multiclass,Logistic Regression,"(1541, 35551)",200,10,12,0.1,0.01,none,0,200,0.235836627,species_recall
16.05,multiclass,Logistic Regression,"(15341, 800)",200,100,1,0.1,0.01,none,0,200,0.262802699,species_recall
16.05,multiclass,Logistic Regression,"(15341, 1600)",200,100,2,0.1,0.01,none,0,200,0.183803096,species_recall
16.05,multiclass,Logistic Regression,"(15341, 12800)",200,100,4,0.1,0.01,none,0,200,0.407039831,species_recall
16.05,multiclass,Logistic Regression,"(15341, 123912)",200,100,6,0.1,0.01,none,0,200,0.499007543,species_recall
16.05,multiclass,Logistic Regression,"(15341, 331992)",200,100,8,0.1,0.01,none,0,200,0.464470028,species_recall
16.05,multiclass,Logistic Regression,"(15341, 330774)",200,100,10,0.1,0.01,none,0,200,0.409951039,species_recall
16.05,multiclass,Logistic Regression,"(15341, 271229)",200,100,12,0.1,0.01,none,0,200,0.492258833,species_recall
16.05,multiclass,Logistic Regression,"(30676, 800)",200,200,1,0.1,0.01,none,0,200,0.262078094,species_recall
16.05,multiclass,Logistic Regression,"(30676, 1600)",200,200,2,0.1,0.01,none,0,200,0.265916612,species_recall
16.05,multiclass,Logistic Regression,"(30676, 12800)",200,200,4,0.1,0.01,none,0,200,0.336995367,species_recall
16.05,multiclass,Logistic Regression,"(30676, 130304)",200,200,6,0.1,0.01,none,0,200,0.330575778,species_recall
16.05,multiclass,Logistic Regression,"(30676, 460885)",200,200,8,0.1,0.01,none,0,200,0.287094639,species_recall
16.05,multiclass,Logistic Regression,"(30676, 501223)",200,200,10,0.1,0.01,none,0,200,0.45790867,species_recall
16.05,multiclass,Logistic Regression,"(30676, 416410)",200,200,12,0.1,0.01,none,0,200,0.297551291,species_recall
16.05,multiclass,Logistic Regression,"(61353, 800)",200,400,1,0.1,0.01,none,0,200,0.262583143,species_recall
16.05,multiclass,Logistic Regression,"(61353, 1600)",200,400,2,0.1,0.01,none,0,200,0.262186042,species_recall
16.05,multiclass,Logistic Regression,"(61353, 12800)",200,400,4,0.1,0.01,none,0,200,0.250372282,species_recall
16.05,multiclass,Logistic Regression,"(61353, 132434)",200,400,6,0.1,0.01,none,0,200,0.337899997,species_recall
16.05,multiclass,Logistic Regression,"(61353, 556525)",200,400,8,0.1,0.01,none,0,200,0.311029485,species_recall
16.05,multiclass,Logistic Regression,"(61353, 646063)",200,400,10,0.1,0.01,none,0,200,0.317647837,species_recall
16.05,multiclass,Logistic Regression,"(61353, 542356)",200,400,12,0.1,0.01,none,0,200,0.306893014,species_recall
16.05,multiclass,Logistic Regression,"(84, 1600)",400,1,1,0.1,0.01,none,0,200,0.238095238,species_recall
16.05,multiclass,Logistic Regression,"(84, 3196)",400,1,2,0.1,0.01,none,0,200,0.285714286,species_recall
16.05,multiclass,Logistic Regression,"(84, 9318)",400,1,4,0.1,0.01,none,0,200,0.19047619,species_recall
16.05,multiclass,Logistic Regression,"(84, 8093)",400,1,6,0.1,0.01,none,0,200,0.30952381,species_recall
16.05,multiclass,Logistic Regression,"(84, 6286)",400,1,8,0.1,0.01,none,0,200,0.214285714,species_recall
16.05,multiclass,Logistic Regression,"(84, 5039)",400,1,10,0.1,0.01,none,0,200,0.214285714,species_recall
16.05,multiclass,Logistic Regression,"(84, 4158)",400,1,12,0.1,0.01,none,0,200,0.261904762,species_recall
16.05,multiclass,Logistic Regression,"(773, 1600)",400,10,1,0.1,0.01,none,0,200,0.13648294,species_recall
16.05,multiclass,Logistic Regression,"(773, 3200)",400,10,2,0.1,0.01,none,0,200,0.309711286,species_recall
16.05,multiclass,Logistic Regression,"(773, 24455)",400,10,4,0.1,0.01,none,0,200,0.309711286,species_recall
16.05,multiclass,Logistic Regression,"(773, 60831)",400,10,6,0.1,0.01,none,0,200,0.241469816,species_recall
16.05,multiclass,Logistic Regression,"(773, 55955)",400,10,8,0.1,0.01,none,0,200,0.299212598,species_recall
16.05,multiclass,Logistic Regression,"(773, 45640)",400,10,10,0.1,0.01,none,0,200,0.236220472,species_recall
16.05,multiclass,Logistic Regression,"(773, 37725)",400,10,12,0.1,0.01,none,0,200,0.288713911,species_recall
16.05,multiclass,Logistic Regression,"(7675, 1600)",400,100,1,0.1,0.01,none,0,200,0.26818302,species_recall
16.05,multiclass,Logistic Regression,"(7675, 3200)",400,100,2,0.1,0.01,none,0,200,0.068764877,species_recall
16.05,multiclass,Logistic Regression,"(7675, 25600)",400,100,4,0.1,0.01,none,0,200,0.521026184,species_recall
16.05,multiclass,Logistic Regression,"(7675, 214975)",400,100,6,0.1,0.01,none,0,200,0.520232743,species_recall
16.05,multiclass,Logistic Regression,"(7675, 411209)",400,100,8,0.1,0.01,none,0,200,0.430044962,species_recall
16.05,multiclass,Logistic Regression,"(7675, 378578)",400,100,10,0.1,0.01,none,0,200,0.406770696,species_recall
16.05,multiclass,Logistic Regression,"(7675, 317029)",400,100,12,0.1,0.01,none,0,200,0.268447501,species_recall
16.05,multiclass,Logistic Regression,"(15341, 1600)",400,200,1,0.1,0.01,none,0,200,0.260685457,species_recall
16.05,multiclass,Logistic Regression,"(15341, 3200)",400,200,2,0.1,0.01,none,0,200,0.253936747,species_recall
16.05,multiclass,Logistic Regression,"(15341, 25600)",400,200,4,0.1,0.01,none,0,200,0.287547969,species_recall
16.05,multiclass,Logistic Regression,"(15341, 245191)",400,200,6,0.1,0.01,none,0,200,0.591504565,species_recall
16.05,multiclass,Logistic Regression,"(15341, 641492)",400,200,8,0.1,0.01,none,0,200,0.411935953,species_recall
16.05,multiclass,Logistic Regression,"(15341, 636760)",400,200,10,0.1,0.01,none,0,200,0.550218341,species_recall
16.05,multiclass,Logistic Regression,"(15341, 538282)",400,200,12,0.1,0.01,none,0,200,0.468175202,species_recall
16.05,multiclass,Logistic Regression,"(30676, 1600)",400,400,1,0.1,0.01,none,0,200,0.263004633,species_recall
16.05,multiclass,Logistic Regression,"(30676, 3200)",400,400,2,0.1,0.01,none,0,200,0.264328259,species_recall
16.05,multiclass,Logistic Regression,"(30676, 25600)",400,400,4,0.1,0.01,none,0,200,0.307875579,species_recall
16.05,multiclass,Logistic Regression,"(30676, 258884)",400,400,6,0.1,0.01,none,0,200,0.355989411,species_recall
16.05,multiclass,Logistic Regression,"(30676, 887800)",400,400,8,0.1,0.01,none,0,200,0.337458637,species_recall
16.05,multiclass,Logistic Regression,"(30676, 953966)",400,400,10,0.1,0.01,none,0,200,0.332958306,species_recall
16.05,multiclass,Logistic Regression,"(30676, 815924)",400,400,12,0.1,0.01,none,0,200,0.474321641,species_recall
16.05,multiclass,Logistic Regression,"(314, 400)",100,1,1,0.1,0.01,none,0,200,0.251612903,species_recall
16.05,multiclass,Logistic Regression,"(314, 800)",100,1,2,0.1,0.01,none,0,200,0.212903226,species_recall
16.05,multiclass,Logistic Regression,"(314, 4954)",100,1,4,0.1,0.01,none,0,200,0.232258065,species_recall
16.05,multiclass,Logistic Regression,"(314, 6729)",100,1,6,0.1,0.01,none,0,200,0.283870968,species_recall
16.05,multiclass,Logistic Regression,"(314, 5528)",100,1,8,0.1,0.01,none,0,200,0.283870968,species_recall
