taxid.species,sequence_length,n_species_samples,n_samples_coverage_1
1404,37903,9,
1404,38392,9,
1404,38579,9,
1406,38691,4,
1406,38829,4,
1406,39468,4,
1406,39648,4,
1423,39749,12,
1423,40038,12,
1423,40147,12,
1423,40993,12,
1423,42245,12,
1423,43222,12,
1423,43581,12,
1423,43703,12,
1423,44013,12,
1423,44084,12,
1423,45025,12,
1423,45173,12,
1428,45206,76,
1428,45262,76,
1428,46366,76,
1428,46575,76,
1428,47972,76,
1428,47988,76,
1428,47988,76,
1428,48508,76,
1428,49148,76,
1428,49195,76,
1428,50100,76,
1428,50100,76,
1428,50195,76,
1428,51183,76,
1428,51488,76,
1428,51857,76,
1428,52268,76,
1428,52697,76,
1428,52766,76,
1428,52916,76,
1428,52971,76,
1428,53021,76,
1428,53501,76,
1428,53560,76,
1428,53657,76,
1428,53732,76,
1428,53786,76,
1428,53865,76,
1428,55304,76,
1428,55585,76,
1428,55803,76,
1428,55804,76,
1428,55804,76,
1428,55939,76,
1428,56977,76,
1428,57362,76,
1428,57557,76,
1428,57780,76,
1428,58679,76,
1428,59182,76,
1428,60739,76,
1428,60958,76,
1428,61880,76,
1428,62162,76,
1428,63653,76,
1428,63864,76,
1428,64366,76,
1428,64920,76,
1428,65470,76,
1428,66247,76,
1428,66985,76,
1428,67314,76,
1428,68342,76,
1428,68342,76,
1428,68525,76,
1428,68552,76,
1428,68616,76,
1428,69665,76,
1428,69704,76,
1428,69876,76,
1428,70159,76,
1428,70170,76,
1428,70299,76,
1428,70305,76,
1428,70499,76,
1428,70894,76,
1428,71173,76,
1428,71487,76,
1428,71507,76,
1428,71777,76,
1428,72074,76,
1428,72392,76,
1428,72460,76,
1428,73285,76,
1428,74000,76,
1428,74078,76,
1488,74082,4,
1488,74117,4,
1488,74451,4,
1488,75508,4,
1491,75605,23,
1491,75721,23,
1491,76490,23,
1491,77054,23,
1491,77112,23,
1491,77351,23,
1491,77528,23,
1491,77895,23,
1491,78145,23,
1491,80360,23,
1491,80365,23,
1491,80698,23,
1491,83224,23,
1491,83590,23,
1491,85134,23,
1491,88582,23,
1491,91096,23,
1491,91728,23,
1491,92661,23,
1491,94249,23,
1491,94251,23,
1491,94413,23,
1491,94824,23,
1502,94830,1,
1513,94830,2,
1513,96046,2,
1515,96210,1,
152480,96210,4,
152480,96471,4,
152480,98732,4,
152480,99286,4,
1534,99694,2,
1534,100918,2,
154,100990,1,
155892,104014,1,
1579,105974,2,
1579,106642,2,
1580,107431,3,
1580,107576,3,
1580,110781,3,
1581,110967,4,
1581,111195,4,
1581,113685,4,
1581,113866,4,
1582,116763,11,
1582,120153,11,
1582,122799,11,
1582,127885,11,
1582,130716,11,
1582,137010,11,
1582,139013,11,
1582,140001,11,
1582,141504,11,
1582,142731,11,
1582,144082,11,
1584,146276,3,
1584,148780,3,
1584,148959,3,
1587,153140,3,
1587,155004,3,
1587,164406,3,
1590,164565,25,
1590,164857,25,
1590,168999,25,
1590,171030,25,
1590,171593,25,
1590,175879,25,
1590,179680,25,
1590,181677,25,
1590,181677,25,
1590,181700,25,
1590,182726,25,
1590,184338,25,
1590,187880,25,
1590,187922,25,
1590,191996,25,
1590,192000,25,
1590,194229,25,
1590,198504,25,
1590,202301,25,
1590,202852,25,
1590,203287,25,
1590,208369,25,
1590,209488,25,
1590,210605,25,
1590,210919,25,
1598,211864,10,
1598,213290,10,
1598,214319,10,
1598,214396,10,
1598,218786,10,
1598,221618,10,
1598,223364,10,
1598,224152,10,
1598,224872,10,
1598,232605,10,
160,233730,9,
160,235425,9,
