taxid.species,sequence_length,n_species_samples,n_samples_coverage_1
83554,5491935,28,
83554,5495278,28,
83554,5500501,28,
83554,5547747,28,
83554,5641239,28,
83554,5646799,28,
83554,5731541,28,
83554,5774330,28,
83554,5777908,28,
83554,5864546,28,
83554,5875750,28,
83554,5886036,28,
83554,5943768,28,
83554,5959964,28,
83554,5962570,28,
83554,5984790,28,
83554,6000087,28,
83554,6002284,28,
83554,6024666,28,
83554,6078430,28,
83554,6097032,28,
83558,6156701,5,
83558,6181863,5,
83558,6260702,5,
83558,6262305,5,
83558,6264404,5,
85991,6265484,3,
85991,6327754,3,
85991,6342034,3,
876,6402658,1,
881,6421010,5,
881,6476459,5,
881,6516310,5,
881,6528877,5,
881,6537648,5,
920,6550070,1,
948,6580038,3,
948,6588339,3,
948,6601757,3,
95486,6722539,11,
95486,6725183,11,
95486,6764661,11,
95486,6845832,11,
95486,6867980,11,
95486,6870827,11,
95486,6988208,11,
95486,6988209,11,
95486,8663821,11,
95486,8819200,11,
95486,9840102,11,
