experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
3.01,multiclass,Random Forest,"(1653525, 7366215)",200,400,10,15,50,0.236411545,species_recall
3.01,multiclass,Random Forest,"(1653525, 8703530)",200,400,12,15,50,0.236911286,species_recall
3.01,multiclass,Random Forest,"(262, 1600)",400,0.1,1,15,50,0.207692308,species_recall
3.01,multiclass,Random Forest,"(262, 3200)",400,0.1,2,15,50,0.184615385,species_recall
3.01,multiclass,Random Forest,"(262, 18461)",400,0.1,4,15,50,0.230769231,species_recall
3.01,multiclass,Random Forest,"(262, 23959)",400,0.1,6,15,50,0.176923077,species_recall
3.01,multiclass,Random Forest,"(262, 19483)",400,0.1,8,15,50,0.184615385,species_recall
3.01,multiclass,Random Forest,"(262, 15671)",400,0.1,10,15,50,0.176923077,species_recall
3.01,multiclass,Random Forest,"(262, 12936)",400,0.1,12,15,50,0.176923077,species_recall
3.01,multiclass,Random Forest,"(2129, 1600)",400,1,1,15,50,0.238322212,species_recall
3.01,multiclass,Random Forest,"(2129, 3200)",400,1,2,15,50,0.253574833,species_recall
3.01,multiclass,Random Forest,"(2129, 25581)",400,1,4,15,50,0.248808389,species_recall
3.01,multiclass,Random Forest,"(2129, 128609)",400,1,6,15,50,0.217349857,species_recall
3.01,multiclass,Random Forest,"(2129, 149533)",400,1,8,15,50,0.235462345,species_recall
3.01,multiclass,Random Forest,"(2129, 125144)",400,1,10,15,50,0.222116301,species_recall
3.01,multiclass,Random Forest,"(2129, 103670)",400,1,12,15,50,0.238322212,species_recall
3.01,multiclass,Random Forest,"(20726, 1600)",400,10,1,15,50,0.28190812,species_recall
3.01,multiclass,Random Forest,"(20726, 3200)",400,10,2,15,50,0.256832207,species_recall
3.01,multiclass,Random Forest,"(20726, 25600)",400,10,4,15,50,0.238808894,species_recall
3.01,multiclass,Random Forest,"(20726, 265179)",400,10,6,15,50,0.231070624,species_recall
3.01,multiclass,Random Forest,"(20726, 1005831)",400,10,8,15,50,0.240376139,species_recall
3.01,multiclass,Random Forest,"(20726, 1085878)",400,10,10,15,50,0.238221177,species_recall
3.01,multiclass,Random Forest,"(20726, 926498)",400,10,12,15,50,0.233127632,species_recall
3.01,multiclass,Random Forest,"(206741, 1600)",400,100,1,15,50,0.39824999,species_recall
3.01,multiclass,Random Forest,"(206741, 3200)",400,100,2,15,50,0.267372432,species_recall
3.01,multiclass,Random Forest,"(206741, 25600)",400,100,4,15,50,0.236408453,species_recall
3.01,multiclass,Random Forest,"(206741, 270336)",400,100,6,15,50,0.237086067,species_recall
3.01,multiclass,Random Forest,"(206741, 2770127)",400,100,8,15,50,0.238274345,species_recall
3.01,multiclass,Random Forest,"(206741, 6390899)",400,100,10,15,50,0.238343088,species_recall
3.01,multiclass,Random Forest,"(206741, 6304936)",400,100,12,15,50,0.235671917,species_recall
3.01,multiclass,Random Forest,"(826762, 1600)",400,400,1,15,50,0.461079241,species_recall
3.01,multiclass,Random Forest,"(826762, 3200)",400,400,2,15,50,0.271919786,species_recall
3.01,multiclass,Random Forest,"(826762, 25600)",400,400,4,15,50,0.237615787,species_recall
3.01,multiclass,Random Forest,"(826762, 270336)",400,400,6,15,50,0.23609815,species_recall
3.01,multiclass,Random Forest,"(826762, 3180135)",400,400,8,15,50,0.236441952,species_recall
3.01,multiclass,Random Forest,"(826762, 12347510)",400,400,10,15,50,0.237173757,species_recall
3.01,multiclass,Random Forest,"(826762, 14165851)",400,400,12,15,50,0.236164455,species_recall
3.02,multiclass,Random Forest,"(1653525, 400)",100,200,1,15,50,0.454971188,species_recall
3.02,multiclass,Random Forest,"(1653525, 800)",100,200,2,15,50,0.270300569,species_recall
3.02,multiclass,Random Forest,"(1653525, 6400)",100,200,4,15,50,0.238672041,species_recall
3.02,multiclass,Random Forest,"(1653525, 65536)",100,200,6,15,50,0.236697637,species_recall
3.02,multiclass,Random Forest,"(1653525, 775402)",100,200,8,15,50,0.237225619,species_recall
3.02,multiclass,Random Forest,"(1653525, 3710636)",100,200,10,15,50,0.236854804,species_recall
