experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,score,score type
4.01,multiclass,Logistic Regression,"(12, 398)",100,0.2,1,0.01,0.01,0.16666666666666666,species_recall
4.01,multiclass,Logistic Regression,"(12, 525)",100,0.2,2,0.01,0.01,0.3333333333333333,species_recall
4.01,multiclass,Logistic Regression,"(12, 432)",100,0.2,4,0.01,0.01,0.3333333333333333,species_recall
4.01,multiclass,Logistic Regression,"(12, 287)",100,0.2,6,0.01,0.01,0.16666666666666666,species_recall
4.01,multiclass,Logistic Regression,"(12, 216)",100,0.2,8,0.01,0.01,0.16666666666666666,species_recall
4.01,multiclass,Logistic Regression,"(12, 180)",100,0.2,10,0.01,0.01,0.16666666666666666,species_recall
4.01,multiclass,Logistic Regression,"(12, 144)",100,0.2,12,0.01,0.01,0.16666666666666666,species_recall
4.01,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.01,0.01,0.1724137931034483,species_recall
4.01,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.01,0.01,0.3103448275862069,species_recall
4.01,multiclass,Logistic Regression,"(56, 1722)",100,1,4,0.01,0.01,0.1724137931034483,species_recall
4.01,multiclass,Logistic Regression,"(56, 1338)",100,1,6,0.01,0.01,0.20689655172413793,species_recall
4.01,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.01,0.01,0.20689655172413793,species_recall
4.01,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.01,0.01,0.20689655172413793,species_recall
4.01,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.01,0.01,0.1724137931034483,species_recall
4.01,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.01,0.01,0.40370370370370373,species_recall
4.01,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.01,0.01,0.43703703703703706,species_recall
4.01,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.01,0.01,0.34444444444444444,species_recall
4.01,multiclass,Logistic Regression,"(546, 10714)",100,10,6,0.01,0.01,0.2962962962962963,species_recall
4.01,multiclass,Logistic Regression,"(546, 9328)",100,10,8,0.01,0.01,0.3,species_recall
4.01,multiclass,Logistic Regression,"(546, 7885)",100,10,10,0.01,0.01,0.2222222222222222,species_recall
4.01,multiclass,Logistic Regression,"(546, 6317)",100,10,12,0.01,0.01,0.25555555555555554,species_recall
