experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,score,score type
4.02,multiclass,Logistic Regression,"(9, 773)",200,0.3,1,0.01,0.01,0.0,species_recall
4.02,multiclass,Logistic Regression,"(9, 907)",200,0.3,2,0.01,0.01,0.0,species_recall
4.02,multiclass,Logistic Regression,"(9, 672)",200,0.3,4,0.01,0.01,0.0,species_recall
4.02,multiclass,Logistic Regression,"(9, 462)",200,0.3,6,0.01,0.01,0.2,species_recall
4.02,multiclass,Logistic Regression,"(9, 350)",200,0.3,8,0.01,0.01,0.2,species_recall
4.02,multiclass,Logistic Regression,"(9, 280)",200,0.3,10,0.01,0.01,0.2,species_recall
4.02,multiclass,Logistic Regression,"(9, 224)",200,0.3,12,0.01,0.01,0.2,species_recall
4.02,multiclass,Logistic Regression,"(29, 800)",200,1,1,0.01,0.01,0.3333333333333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 1444)",200,1,2,0.01,0.01,0.26666666666666666,species_recall
4.02,multiclass,Logistic Regression,"(29, 1910)",200,1,4,0.01,0.01,0.13333333333333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 1429)",200,1,6,0.01,0.01,0.06666666666666667,species_recall
4.02,multiclass,Logistic Regression,"(29, 1096)",200,1,8,0.01,0.01,0.13333333333333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 878)",200,1,10,0.01,0.01,0.13333333333333333,species_recall
4.02,multiclass,Logistic Regression,"(29, 703)",200,1,12,0.01,0.01,0.06666666666666667,species_recall
4.02,multiclass,Logistic Regression,"(274, 800)",200,10,1,0.01,0.01,0.4740740740740741,species_recall
4.02,multiclass,Logistic Regression,"(274, 1600)",200,10,2,0.01,0.01,0.3851851851851852,species_recall
4.02,multiclass,Logistic Regression,"(274, 9082)",200,10,4,0.01,0.01,0.32592592592592595,species_recall
4.02,multiclass,Logistic Regression,"(274, 11985)",200,10,6,0.01,0.01,0.34814814814814815,species_recall
4.02,multiclass,Logistic Regression,"(274, 9852)",200,10,8,0.01,0.01,0.2814814814814815,species_recall
4.02,multiclass,Logistic Regression,"(274, 7945)",200,10,10,0.01,0.01,0.24444444444444444,species_recall
4.02,multiclass,Logistic Regression,"(274, 6361)",200,10,12,0.01,0.01,0.2814814814814815,species_recall
