experiment,category,classifier,training shape,sample_length,coverage,k,multiclass,class_weight,score,score type
5.02,multiclass,Logistic Regression (sklearn),"(10908, 136646)",200,400,8,auto,,0.8729065872720506,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 121850)",200,400,10,auto,,0.8422032005954596,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(10908, 98704)",200,400,12,auto,,0.8537402307406029,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 2327)",400,1,2,auto,,0.25,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 2146)",400,1,4,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 1511)",400,1,6,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 1150)",400,1,8,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 920)",400,1,10,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 759)",400,1,12,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 3199)",400,10,2,auto,,0.4852941176470588,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 12558)",400,10,4,auto,,0.35294117647058826,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 12586)",400,10,6,auto,,0.35294117647058826,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 10003)",400,10,8,auto,,0.22058823529411764,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 8033)",400,10,10,auto,,0.11764705882352941,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 6631)",400,10,12,auto,,0.20588235294117646,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 3200)",400,100,2,auto,,0.6641901931649331,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 25059)",400,100,4,auto,,0.6760772659732541,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 80853)",400,100,6,auto,,0.5037147102526003,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 81580)",400,100,8,auto,,0.43833580980683506,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 67552)",400,100,10,auto,,0.4264487369985141,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 55940)",400,100,12,auto,,0.4398216939078752,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 3200)",400,200,2,auto,,0.7827380952380952,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 25514)",400,200,4,auto,,0.7872023809523809,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 117598)",400,200,6,auto,,0.6614583333333334,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 138154)",400,200,8,auto,,0.5580357142857143,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 116996)",400,200,10,auto,,0.5208333333333334,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 97172)",400,200,12,auto,,0.5498511904761905,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 3200)",400,400,2,auto,,0.8578340156308151,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 25588)",400,400,4,auto,,0.8850018608113137,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 148288)",400,400,6,auto,,0.8254558987718645,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 200257)",400,400,8,auto,,0.7320431708224786,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 174176)",400,400,10,auto,,0.6914774841831038,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 145094)",400,400,12,auto,,0.6970599181243022,species_recall
