experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score,score type
11.01,multiclass,Random Forest,"(35140, 1600)",400,100,1,30,50,0.473076034,species_recall
11.01,multiclass,Random Forest,"(35140, 3200)",400,100,2,30,50,0.457302981,species_recall
11.01,multiclass,Random Forest,"(35140, 25600)",400,100,4,30,50,0.270279639,species_recall
11.01,multiclass,Random Forest,"(35140, 269447)",400,100,6,30,50,0.225675988,species_recall
11.01,multiclass,Random Forest,"(70255, 1600)",400,200,1,30,50,0.576407352,species_recall
11.01,multiclass,Random Forest,"(70255, 3200)",400,200,2,30,50,0.519535314,species_recall
11.01,multiclass,Random Forest,"(70255, 25600)",400,200,4,30,50,0.274245752,species_recall
11.01,multiclass,Random Forest,"(70255, 270241)",400,200,6,30,50,0.229886718,species_recall
11.01,multiclass,Random Forest,"(140485, 1600)",400,400,1,30,50,0.725298071,species_recall
11.01,multiclass,Random Forest,"(140485, 3200)",400,400,2,30,50,0.596502637,species_recall
11.01,multiclass,Random Forest,"(140485, 25600)",400,400,4,30,50,0.276161572,species_recall
11.01,multiclass,Random Forest,"(140485, 270321)",400,400,6,30,50,0.232328926,species_recall
11.02,multiclass,Random Forest,"(165, 2775)",100,0.1,8,30,50,0.207317073,species_recall
11.02,multiclass,Random Forest,"(1425, 23478)",100,1,8,30,50,0.229018492,species_recall
11.02,multiclass,Random Forest,"(14070, 179285)",100,10,8,30,50,0.232756133,species_recall
11.02,multiclass,Random Forest,"(140485, 568839)",100,100,8,30,50,0.232646868,species_recall
11.02,multiclass,Random Forest,"(280971, 632206)",100,200,8,30,50,0.229917118,species_recall
11.02,multiclass,Random Forest,"(561942, 655218)",100,400,8,30,50,0.233956456,species_recall
11.02,multiclass,Random Forest,"(93, 3267)",200,0.1,8,30,50,0.152173913,species_recall
11.02,multiclass,Random Forest,"(726, 25258)",200,1,8,30,50,0.226256983,species_recall
11.02,multiclass,Random Forest,"(7043, 214539)",200,10,8,30,50,0.225648415,species_recall
11.02,multiclass,Random Forest,"(70255, 962079)",200,100,8,30,50,0.230002312,species_recall
11.02,multiclass,Random Forest,"(140485, 1178457)",200,200,8,30,50,0.232704675,species_recall
11.02,multiclass,Random Forest,"(280971, 1308777)",200,400,8,30,50,0.229808728,species_recall
11.02,multiclass,Random Forest,"(53, 3800)",400,0.1,8,30,50,0.185185185,species_recall
11.02,multiclass,Random Forest,"(374, 26269)",400,1,8,30,50,0.216216216,species_recall
11.02,multiclass,Random Forest,"(3531, 231164)",400,10,8,30,50,0.23045977,species_recall
11.02,multiclass,Random Forest,"(35140, 1370439)",400,100,8,30,50,0.225733765,species_recall
11.02,multiclass,Random Forest,"(70255, 1906895)",400,200,8,30,50,0.230233499,species_recall
11.02,multiclass,Random Forest,"(140485, 2326775)",400,400,8,30,50,0.232762483,species_recall
