experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.03,multiclass,Logistic Regression,"(1541, 42734)",200,10,10,0.1,0.01,none,0,1000,0.246376812,species_recall
16.03,multiclass,Logistic Regression,"(1541, 34316)",200,10,12,0.1,0.01,none,0,1000,0.28458498,species_recall
16.03,multiclass,Logistic Regression,"(15341, 800)",200,100,1,0.1,0.01,none,0,1000,0.268228133,species_recall
16.03,multiclass,Logistic Regression,"(15341, 1600)",200,100,2,0.1,0.01,none,0,1000,0.27233029,species_recall
16.03,multiclass,Logistic Regression,"(15341, 12800)",200,100,4,0.1,0.01,none,0,1000,0.263993648,species_recall
16.03,multiclass,Logistic Regression,"(15341, 122529)",200,100,6,0.1,0.01,none,0,1000,0.514225222,species_recall
16.03,multiclass,Logistic Regression,"(15341, 319161)",200,100,8,0.1,0.01,none,0,1000,0.455604076,species_recall
16.03,multiclass,Logistic Regression,"(15341, 317180)",200,100,10,0.1,0.01,none,0,1000,0.452428212,species_recall
16.03,multiclass,Logistic Regression,"(15341, 260143)",200,100,12,0.1,0.01,none,0,1000,0.441974328,species_recall
16.03,multiclass,Logistic Regression,"(30676, 800)",200,200,1,0.1,0.01,none,0,1000,0.261945731,species_recall
16.03,multiclass,Logistic Regression,"(30676, 1600)",200,200,2,0.1,0.01,none,0,1000,0.265519523,species_recall
16.03,multiclass,Logistic Regression,"(30676, 12800)",200,200,4,0.1,0.01,none,0,1000,0.331237591,species_recall
16.03,multiclass,Logistic Regression,"(30676, 129801)",200,200,6,0.1,0.01,none,0,1000,0.328590338,species_recall
16.03,multiclass,Logistic Regression,"(30676, 448601)",200,200,8,0.1,0.01,none,0,1000,0.451687624,species_recall
16.03,multiclass,Logistic Regression,"(30676, 484637)",200,200,10,0.1,0.01,none,0,1000,0.298941099,species_recall
16.03,multiclass,Logistic Regression,"(30676, 402455)",200,200,12,0.1,0.01,none,0,1000,0.30397088,species_recall
16.03,multiclass,Logistic Regression,"(61353, 800)",200,400,1,0.1,0.01,none,0,1000,0.263972997,species_recall
16.03,multiclass,Logistic Regression,"(61353, 1600)",200,400,2,0.1,0.01,none,0,1000,0.26307952,species_recall
16.03,multiclass,Logistic Regression,"(61353, 12800)",200,400,4,0.1,0.01,none,0,1000,0.28710414,species_recall
16.03,multiclass,Logistic Regression,"(61353, 132271)",200,400,6,0.1,0.01,none,0,1000,0.320195903,species_recall
16.03,multiclass,Logistic Regression,"(61353, 547960)",200,400,8,0.1,0.01,none,0,1000,0.319699527,species_recall
16.03,multiclass,Logistic Regression,"(61353, 633117)",200,400,10,0.1,0.01,none,0,1000,0.316621993,species_recall
16.03,multiclass,Logistic Regression,"(61353, 531293)",200,400,12,0.1,0.01,none,0,1000,0.398557199,species_recall
16.03,multiclass,Logistic Regression,"(84, 1600)",400,1,1,0.1,0.01,none,0,1000,0.261904762,species_recall
16.03,multiclass,Logistic Regression,"(84, 3192)",400,1,2,0.1,0.01,none,0,1000,0.30952381,species_recall
16.03,multiclass,Logistic Regression,"(84, 8862)",400,1,4,0.1,0.01,none,0,1000,0.214285714,species_recall
16.03,multiclass,Logistic Regression,"(84, 7679)",400,1,6,0.1,0.01,none,0,1000,0.166666667,species_recall
16.03,multiclass,Logistic Regression,"(84, 5983)",400,1,8,0.1,0.01,none,0,1000,0.19047619,species_recall
16.03,multiclass,Logistic Regression,"(84, 4801)",400,1,10,0.1,0.01,none,0,1000,0.30952381,species_recall
16.03,multiclass,Logistic Regression,"(84, 3961)",400,1,12,0.1,0.01,none,0,1000,0.166666667,species_recall
16.03,multiclass,Logistic Regression,"(773, 1600)",400,10,1,0.1,0.01,none,0,1000,0.107611549,species_recall
16.03,multiclass,Logistic Regression,"(773, 3200)",400,10,2,0.1,0.01,none,0,1000,0.367454068,species_recall
16.03,multiclass,Logistic Regression,"(773, 24276)",400,10,4,0.1,0.01,none,0,1000,0.257217848,species_recall
16.03,multiclass,Logistic Regression,"(773, 58012)",400,10,6,0.1,0.01,none,0,1000,0.223097113,species_recall
16.03,multiclass,Logistic Regression,"(773, 53390)",400,10,8,0.1,0.01,none,0,1000,0.325459318,species_recall
16.03,multiclass,Logistic Regression,"(773, 43599)",400,10,10,0.1,0.01,none,0,1000,0.236220472,species_recall
16.03,multiclass,Logistic Regression,"(773, 36046)",400,10,12,0.1,0.01,none,0,1000,0.25984252,species_recall
16.03,multiclass,Logistic Regression,"(7675, 1600)",400,100,1,0.1,0.01,none,0,1000,0.267125099,species_recall
16.03,multiclass,Logistic Regression,"(7675, 3200)",400,100,2,0.1,0.01,none,0,1000,0.159746099,species_recall
16.03,multiclass,Logistic Regression,"(7675, 25600)",400,100,4,0.1,0.01,none,0,1000,0.498016398,species_recall
16.03,multiclass,Logistic Regression,"(7675, 211355)",400,100,6,0.1,0.01,none,0,1000,0.488759587,species_recall
16.03,multiclass,Logistic Regression,"(7675, 394149)",400,100,8,0.1,0.01,none,0,1000,0.417349907,species_recall
16.03,multiclass,Logistic Regression,"(7675, 361228)",400,100,10,0.1,0.01,none,0,1000,0.368421053,species_recall
16.03,multiclass,Logistic Regression,"(7675, 302434)",400,100,12,0.1,0.01,none,0,1000,0.265009257,species_recall
16.03,multiclass,Logistic Regression,"(15341, 1600)",400,200,1,0.1,0.01,none,0,1000,0.264522959,species_recall
16.03,multiclass,Logistic Regression,"(15341, 3200)",400,200,2,0.1,0.01,none,0,1000,0.264258304,species_recall
16.03,multiclass,Logistic Regression,"(15341, 25600)",400,200,4,0.1,0.01,none,0,1000,0.462617441,species_recall
16.03,multiclass,Logistic Regression,"(15341, 243257)",400,200,6,0.1,0.01,none,0,1000,0.552467911,species_recall
16.03,multiclass,Logistic Regression,"(15341, 625124)",400,200,8,0.1,0.01,none,0,1000,0.408363107,species_recall
16.03,multiclass,Logistic Regression,"(15341, 618400)",400,200,10,0.1,0.01,none,0,1000,0.479555379,species_recall
16.03,multiclass,Logistic Regression,"(15341, 522831)",400,200,12,0.1,0.01,none,0,1000,0.477967447,species_recall
16.03,multiclass,Logistic Regression,"(30676, 1600)",400,400,1,0.1,0.01,none,0,1000,0.261085374,species_recall
16.03,multiclass,Logistic Regression,"(30676, 3200)",400,400,2,0.1,0.01,none,0,1000,0.262739907,species_recall
16.03,multiclass,Logistic Regression,"(30676, 25600)",400,400,4,0.1,0.01,none,0,1000,0.312971542,species_recall
16.03,multiclass,Logistic Regression,"(30676, 257707)",400,400,6,0.1,0.01,none,0,1000,0.356320318,species_recall
16.03,multiclass,Logistic Regression,"(30676, 861197)",400,400,8,0.1,0.01,none,0,1000,0.322104567,species_recall
16.03,multiclass,Logistic Regression,"(30676, 920837)",400,400,10,0.1,0.01,none,0,1000,0.472402383,species_recall
16.03,multiclass,Logistic Regression,"(30676, 787293)",400,400,12,0.1,0.01,none,0,1000,0.506221046,species_recall
