experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
10.01,multiclass,Logistic Regression (sklearn),"(1425, 400)",100,1,1,l2,auto,balanced,0.22617354196301565,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(1425, 800)",100,1,2,l2,auto,balanced,0.2901849217638691,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(1425, 6376)",100,1,4,l2,auto,balanced,0.30440967283072545,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(1425, 23815)",100,1,6,l2,auto,balanced,0.2546230440967283,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(1425, 23478)",100,1,8,l2,auto,balanced,0.24751066856330015,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(1425, 20066)",100,1,10,l2,auto,balanced,0.27311522048364156,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(1425, 16089)",100,1,12,l2,auto,balanced,0.25604551920341395,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 400)",100,10,1,l2,auto,balanced,0.17604617604617603,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 800)",100,10,2,l2,auto,balanced,0.2253968253968254,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 6400)",100,10,4,l2,auto,balanced,0.3759018759018759,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 62800)",100,10,6,l2,auto,balanced,0.3956709956709957,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 179285)",100,10,8,l2,auto,balanced,0.33636363636363636,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 180939)",100,10,10,l2,auto,balanced,0.32756132756132755,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(14070, 147508)",100,10,12,l2,auto,balanced,0.31385281385281383,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 400)",100,100,1,l2,auto,balanced,0.20007225955632632,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 800)",100,100,2,l2,auto,balanced,0.23253125225811114,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 6400)",100,100,4,l2,auto,balanced,0.4615073343449671,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 65533)",100,100,6,l2,auto,balanced,0.7074933159910398,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 568839)",100,100,8,l2,auto,balanced,0.7140978394392659,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 994839)",100,100,10,l2,auto,balanced,0.6836621143146181,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(140485, 877597)",100,100,12,l2,auto,balanced,0.6708288171110629,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 400)",100,200,1,l2,auto,balanced,0.20305082051319107,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 800)",100,200,2,l2,auto,balanced,0.23657227091748623,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 6400)",100,200,4,l2,auto,balanced,0.47047814493926543,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 65536)",100,200,6,l2,auto,balanced,0.8412807376308811,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 632206)",100,200,8,l2,auto,balanced,0.8603429463324397,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 1283884)",100,200,10,l2,auto,balanced,0.8488030118000708,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(280971, 1162085)",100,200,12,l2,auto,balanced,0.834322092073792,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 400)",100,400,1,l2,auto,balanced,0.20973487777207725,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 800)",100,400,2,l2,auto,balanced,0.2410993648339102,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 6400)",100,400,4,l2,auto,balanced,0.46859215689108236,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 65536)",100,400,6,l2,auto,balanced,0.9273316520821742,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 655218)",100,400,8,l2,auto,balanced,0.9584323898575754,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 1420092)",100,400,10,l2,auto,balanced,0.9552782374321659,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(561942, 1300882)",100,400,12,l2,auto,balanced,0.9515387783711133,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(726, 800)",200,1,1,l2,auto,balanced,0.3100558659217877,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(726, 1600)",200,1,2,l2,auto,balanced,0.3463687150837989,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(726, 12331)",200,1,4,l2,auto,balanced,0.33798882681564246,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(726, 28756)",200,1,6,l2,auto,balanced,0.2737430167597765,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(726, 25258)",200,1,8,l2,auto,balanced,0.24860335195530725,species_recall
10.01,multiclass,Logistic Regression (sklearn),"(726, 20477)",200,1,10,l2,auto,balanced,0.2681564245810056,species_recall
