experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multiclass,class_weight,score,score type
5.01,multiclass,Logistic Regression (sklearn),"(15, 1592)",400,1,1,l2,auto,,0.25,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 2327)",400,1,2,l2,auto,,0.25,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 2146)",400,1,4,l2,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 1511)",400,1,6,l2,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 1150)",400,1,8,l2,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 920)",400,1,10,l2,auto,,0.125,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(15, 759)",400,1,12,l2,auto,,0.125,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(137, 1600)",400,10,1,l2,auto,,0.5,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 3199)",400,10,2,l2,auto,,0.485294118,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 12558)",400,10,4,l2,auto,,0.352941176,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 12586)",400,10,6,l2,auto,,0.352941176,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 10003)",400,10,8,l2,auto,,0.220588235,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 8033)",400,10,10,l2,auto,,0.117647059,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(137, 6631)",400,10,12,l2,auto,,0.205882353,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(1364, 1600)",400,100,1,l2,auto,,0.640416048,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 3200)",400,100,2,l2,auto,,0.664190193,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 25059)",400,100,4,l2,auto,,0.676077266,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 80853)",400,100,6,l2,auto,,0.50371471,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 81580)",400,100,8,l2,auto,,0.43833581,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 67552)",400,100,10,l2,auto,,0.426448737,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(1364, 55940)",400,100,12,l2,auto,,0.439821694,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(2727, 1600)",400,200,1,l2,auto,,0.742559524,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 3200)",400,200,2,l2,auto,,0.782738095,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 25514)",400,200,4,l2,auto,,0.787202381,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 117598)",400,200,6,l2,auto,,0.661458333,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 138154)",400,200,8,l2,auto,,0.558035714,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 116996)",400,200,10,l2,auto,,0.520833333,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(2727, 97172)",400,200,12,l2,auto,,0.54985119,species_recall
5.01,multiclass,Logistic Regression (sklearn),"(5454, 1600)",400,400,1,l2,auto,,0.834759955,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 3200)",400,400,2,l2,auto,,0.857834016,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 25588)",400,400,4,l2,auto,,0.885001861,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 148288)",400,400,6,l2,auto,,0.825455899,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 200257)",400,400,8,l2,auto,,0.732043171,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 174176)",400,400,10,l2,auto,,0.691477484,species_recall
5.02,multiclass,Logistic Regression (sklearn),"(5454, 145094)",400,400,12,l2,auto,,0.697059918,species_recall
