experiment,classifier,training_shape,sample_length,coverage,k,C,score,score_type
6.01,Linear SVC,"(546, 6192)",100,10,12,0.01,0.292592593,species_recall
,,,,,,,,
6.01,Linear SVC,"(546, 6192)",100,10,12,0.1,0.292592593,species_recall
,,,,,,,,
6.01,Linear SVC,"(546, 6192)",100,10,12,1,0.292592593,species_recall
,,,,,,,,
6.01,Linear SVC,"(546, 6192)",100,10,12,10,0.292592593,species_recall
,,,,,,,,
6.01,Linear SVC,"(546, 6192)",100,10,12,100,0.292592593,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 400)",100,100,1,0.01,0.499813919,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 400)",100,100,1,0.1,0.499069594,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 400)",100,100,1,1,0.499441757,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 400)",100,100,1,10,0.446966878,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 400)",100,100,1,100,0.423520655,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 800)",100,100,2,0.01,0.598809081,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 800)",100,100,2,0.1,0.605880164,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 800)",100,100,2,1,0.60029773,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 800)",100,100,2,10,0.598436918,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 800)",100,100,2,100,0.559359881,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 6400)",100,100,4,0.01,0.734276144,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 6400)",100,100,4,0.1,0.736136956,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 6400)",100,100,4,1,0.73353182,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 6400)",100,100,4,10,0.732043171,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 6400)",100,100,4,100,0.731671009,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 38801)",100,100,6,0.01,0.696315594,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 38801)",100,100,6,0.1,0.703758839,species_recall
,,,,,,,,
6.01,Linear SVC,"(5454, 38801)",100,100,6,1,0.703386677,species_recall
