experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.12,multiclass,Random Forest,100,400,1,72,500,0.96529264
1.12,multiclass,Random Forest,100,400,2,72,500,0.965199591
1.12,multiclass,Random Forest,100,400,4,72,500,0.906764679
1.12,multiclass,Random Forest,200,400,2,72,500,0.898957946
1.12,multiclass,Random Forest,200,400,1,72,500,0.896166729
1.12,multiclass,Random Forest,100,200,2,72,500,0.879233346
1.12,multiclass,Random Forest,100,200,1,72,500,0.875325642
1.12,multiclass,Random Forest,200,400,4,72,500,0.858950502
1.12,multiclass,Random Forest,100,200,4,72,500,0.820245627
1.12,multiclass,Random Forest,400,400,2,72,500,0.811313733
1.12,multiclass,Random Forest,400,400,1,72,500,0.810197246
1.12,multiclass,Random Forest,400,400,4,72,500,0.77633048
1.12,multiclass,Random Forest,200,200,2,72,500,0.767770748
1.12,multiclass,Random Forest,200,200,1,72,500,0.754000744
1.12,multiclass,Random Forest,100,100,2,72,500,0.733903982
1.12,multiclass,Random Forest,100,100,1,72,500,0.73353182
1.12,multiclass,Random Forest,200,200,4,72,500,0.726460737
1.12,multiclass,Random Forest,400,200,2,72,500,0.688244048
1.12,multiclass,Random Forest,100,100,4,72,500,0.672869371
1.12,multiclass,Random Forest,400,200,1,72,500,0.672619048
1.12,multiclass,Random Forest,200,100,2,72,500,0.64360119
1.12,multiclass,Random Forest,200,100,1,72,500,0.63764881
1.12,multiclass,Random Forest,100,50,1,72,500,0.615327381
1.12,multiclass,Random Forest,100,50,2,72,500,0.609375
1.12,multiclass,Random Forest,400,200,4,72,500,0.593005952
1.12,multiclass,Random Forest,400,50,1,72,500,0.578635015
1.12,multiclass,Random Forest,400,100,1,72,500,0.573551263
1.12,multiclass,Random Forest,200,100,4,72,500,0.569940476
1.12,multiclass,Random Forest,400,100,2,72,500,0.569093611
1.12,multiclass,Random Forest,200,50,1,72,500,0.566121842
1.12,multiclass,Random Forest,100,50,4,72,500,0.548363095
1.12,multiclass,Random Forest,200,400,6,72,500,0.540937849
1.12,multiclass,Random Forest,400,100,4,72,500,0.539375929
1.12,multiclass,Random Forest,100,400,6,72,500,0.531869359
1.12,multiclass,Random Forest,200,50,2,72,500,0.524517088
1.12,multiclass,Random Forest,400,400,6,72,500,0.524004466
1.12,multiclass,Random Forest,400,50,2,72,500,0.510385757
1.12,multiclass,Random Forest,200,50,4,72,500,0.502228826
1.12,multiclass,Random Forest,100,200,6,72,500,0.501302568
1.12,multiclass,Random Forest,100,20,2,72,500,0.492565056
1.12,multiclass,Random Forest,200,20,1,72,500,0.488888889
1.12,multiclass,Random Forest,100,20,1,72,500,0.481412639
1.12,multiclass,Random Forest,200,200,6,72,500,0.476367696
1.12,multiclass,Random Forest,100,10,1,72,500,0.462962963
1.12,multiclass,Random Forest,100,100,6,72,500,0.451804987
1.12,multiclass,Random Forest,400,200,6,72,500,0.444940476
1.12,multiclass,Random Forest,100,20,4,72,500,0.444237918
1.12,multiclass,Random Forest,200,100,6,72,500,0.427083333
1.12,multiclass,Random Forest,200,20,2,72,500,0.422222222
1.12,multiclass,Random Forest,400,50,4,72,500,0.418397626
1.12,multiclass,Random Forest,100,20,6,72,500,0.405204461
1.12,multiclass,Random Forest,400,400,8,72,500,0.401190919
1.12,multiclass,Random Forest,400,100,6,72,500,0.398216939
1.12,multiclass,Random Forest,200,400,8,72,500,0.396911053
1.12,multiclass,Random Forest,100,10,2,72,500,0.396296296
1.12,multiclass,Random Forest,100,50,6,72,500,0.392857143
1.12,multiclass,Random Forest,400,200,8,72,500,0.392113095
1.12,multiclass,Random Forest,400,400,12,72,500,0.386304429
1.12,multiclass,Random Forest,400,10,1,72,500,0.382352941
1.12,multiclass,Random Forest,100,200,8,72,500,0.379047265
1.12,multiclass,Random Forest,400,200,14,72,500,0.378720238
1.12,multiclass,Random Forest,400,400,10,72,500,0.375511723
1.12,multiclass,Random Forest,200,50,6,72,500,0.371471025
1.12,multiclass,Random Forest,400,200,12,72,500,0.371279762
1.12,multiclass,Random Forest,100,400,8,72,500,0.370428957
1.12,multiclass,Random Forest,200,100,8,72,500,0.369047619
1.12,multiclass,Random Forest,400,200,10,72,500,0.368303571
1.12,multiclass,Random Forest,200,400,10,72,500,0.36676591
1.12,multiclass,Random Forest,400,200,16,72,500,0.359375
1.12,multiclass,Random Forest,200,200,8,72,500,0.359136584
1.12,multiclass,Random Forest,400,20,1,72,500,0.355555556
1.12,multiclass,Random Forest,200,400,12,72,500,0.352623744
1.12,multiclass,Random Forest,400,200,20,72,500,0.351934524
1.12,multiclass,Random Forest,400,200,18,72,500,0.351190476
1.12,multiclass,Random Forest,400,400,16,72,500,0.349460365
1.12,multiclass,Random Forest,200,10,1,72,500,0.348148148
1.12,multiclass,Random Forest,200,10,2,72,500,0.348148148
1.12,multiclass,Random Forest,200,10,6,72,500,0.348148148
1.12,multiclass,Random Forest,200,100,18,72,500,0.345982143
1.12,multiclass,Random Forest,200,200,10,72,500,0.345738742
1.12,multiclass,Random Forest,100,200,10,72,500,0.345552661
1.12,multiclass,Random Forest,200,100,20,72,500,0.345238095
1.12,multiclass,Random Forest,100,100,8,72,500,0.344250093
1.12,multiclass,Random Forest,400,400,14,72,500,0.343505769
1.12,multiclass,Random Forest,400,50,6,72,500,0.341246291
1.12,multiclass,Random Forest,200,100,16,72,500,0.335565476
1.12,multiclass,Random Forest,200,100,14,72,500,0.334821429
1.12,multiclass,Random Forest,100,200,12,72,500,0.334387793
1.12,multiclass,Random Forest,100,400,10,72,500,0.333953661
1.12,multiclass,Random Forest,200,400,14,72,500,0.332526982
1.12,multiclass,Random Forest,400,400,18,72,500,0.326758467
1.12,multiclass,Random Forest,200,100,12,72,500,0.326636905
1.12,multiclass,Random Forest,400,50,8,72,500,0.326409496
1.12,multiclass,Random Forest,400,50,10,72,500,0.326409496
1.12,multiclass,Random Forest,400,50,12,72,500,0.326409496
1.12,multiclass,Random Forest,400,50,14,72,500,0.326409496
1.12,multiclass,Random Forest,400,50,16,72,500,0.326409496
1.12,multiclass,Random Forest,400,50,18,72,500,0.326409496
1.12,multiclass,Random Forest,400,50,20,72,500,0.326409496
1.12,multiclass,Random Forest,200,400,16,72,500,0.326200223
1.12,multiclass,Random Forest,100,400,12,72,500,0.325672281
1.12,multiclass,Random Forest,400,400,20,72,500,0.32564198
1.12,multiclass,Random Forest,200,400,20,72,500,0.324897655
1.12,multiclass,Random Forest,100,200,14,72,500,0.324525493
1.12,multiclass,Random Forest,100,200,16,72,500,0.324525493
1.12,multiclass,Random Forest,200,100,10,72,500,0.324404762
1.12,multiclass,Random Forest,200,400,18,72,500,0.323595087
1.12,multiclass,Random Forest,400,10,2,72,500,0.323529412
1.12,multiclass,Random Forest,100,200,18,72,500,0.32229252
1.12,multiclass,Random Forest,200,200,12,72,500,0.321176033
1.12,multiclass,Random Forest,100,200,20,72,500,0.320617789
1.12,multiclass,Random Forest,200,10,4,72,500,0.318518519
1.12,multiclass,Random Forest,200,20,4,72,500,0.318518519
1.12,multiclass,Random Forest,100,50,10,72,500,0.318452381
1.12,multiclass,Random Forest,100,50,12,72,500,0.316964286
1.12,multiclass,Random Forest,100,100,10,72,500,0.315221437
1.12,multiclass,Random Forest,200,200,14,72,500,0.315221437
1.12,multiclass,Random Forest,100,10,4,72,500,0.314814815
1.12,multiclass,Random Forest,100,400,16,72,500,0.314413325
1.12,multiclass,Random Forest,100,400,14,72,500,0.311900996
1.12,multiclass,Random Forest,100,50,14,72,500,0.311755952
1.12,multiclass,Random Forest,200,200,16,72,500,0.311499814
1.12,multiclass,Random Forest,200,200,20,72,500,0.311499814
1.12,multiclass,Random Forest,400,20,4,72,500,0.311111111
1.12,multiclass,Random Forest,200,200,18,72,500,0.310011165
1.12,multiclass,Random Forest,100,100,14,72,500,0.308150354
1.12,multiclass,Random Forest,100,50,8,72,500,0.308035714
1.12,multiclass,Random Forest,100,100,12,72,500,0.307778191
1.12,multiclass,Random Forest,100,50,18,72,500,0.307291667
1.12,multiclass,Random Forest,100,50,20,72,500,0.307291667
1.12,multiclass,Random Forest,100,100,20,72,500,0.306661705
1.12,multiclass,Random Forest,100,400,18,72,500,0.306224993
1.12,multiclass,Random Forest,100,400,20,72,500,0.306038895
1.12,multiclass,Random Forest,100,100,16,72,500,0.305545218
1.12,multiclass,Random Forest,100,50,16,72,500,0.304315476
1.12,multiclass,Random Forest,100,100,18,72,500,0.303684406
1.12,multiclass,Random Forest,200,50,8,72,500,0.298662704
1.12,multiclass,Random Forest,400,100,8,72,500,0.298662704
1.12,multiclass,Random Forest,200,50,10,72,500,0.291233284
1.12,multiclass,Random Forest,400,20,6,72,500,0.288888889
1.12,multiclass,Random Forest,400,100,10,72,500,0.286775632
1.12,multiclass,Random Forest,200,50,12,72,500,0.283803863
1.12,multiclass,Random Forest,200,50,18,72,500,0.283803863
1.12,multiclass,Random Forest,400,100,12,72,500,0.283803863
1.12,multiclass,Random Forest,200,50,16,72,500,0.282317979
1.12,multiclass,Random Forest,400,100,18,72,500,0.282317979
1.12,multiclass,Random Forest,400,20,2,72,500,0.281481481
1.12,multiclass,Random Forest,200,50,14,72,500,0.280832095
1.12,multiclass,Random Forest,400,100,20,72,500,0.280832095
1.12,multiclass,Random Forest,200,50,20,72,500,0.279346211
1.12,multiclass,Random Forest,400,100,14,72,500,0.279346211
1.12,multiclass,Random Forest,400,100,16,72,500,0.279346211
1.12,multiclass,Random Forest,100,10,6,72,500,0.277777778
1.12,multiclass,Random Forest,200,20,8,72,500,0.274074074
1.12,multiclass,Random Forest,200,20,10,72,500,0.274074074
1.12,multiclass,Random Forest,200,20,12,72,500,0.274074074
1.12,multiclass,Random Forest,200,20,14,72,500,0.274074074
1.12,multiclass,Random Forest,200,20,16,72,500,0.274074074
1.12,multiclass,Random Forest,200,20,18,72,500,0.274074074
1.12,multiclass,Random Forest,200,20,20,72,500,0.274074074
1.12,multiclass,Random Forest,100,10,8,72,500,0.27037037
1.12,multiclass,Random Forest,100,10,10,72,500,0.27037037
1.12,multiclass,Random Forest,100,10,12,72,500,0.27037037
1.12,multiclass,Random Forest,100,10,14,72,500,0.27037037
1.12,multiclass,Random Forest,100,10,16,72,500,0.27037037
1.12,multiclass,Random Forest,100,10,18,72,500,0.27037037
1.12,multiclass,Random Forest,100,10,20,72,500,0.27037037
1.12,multiclass,Random Forest,200,20,6,72,500,0.27037037
1.12,multiclass,Random Forest,100,20,8,72,500,0.252788104
1.12,multiclass,Random Forest,400,10,4,72,500,0.25
1.12,multiclass,Random Forest,400,10,6,72,500,0.25
1.12,multiclass,Random Forest,100,20,10,72,500,0.249070632
1.12,multiclass,Random Forest,100,20,14,72,500,0.249070632
1.12,multiclass,Random Forest,100,20,16,72,500,0.249070632
1.12,multiclass,Random Forest,100,20,20,72,500,0.249070632
1.12,multiclass,Random Forest,100,20,18,72,500,0.247211896
1.12,multiclass,Random Forest,100,20,12,72,500,0.24535316
1.12,multiclass,Random Forest,200,10,8,72,500,0.22962963
1.12,multiclass,Random Forest,200,10,10,72,500,0.22962963
1.12,multiclass,Random Forest,200,10,12,72,500,0.22962963
1.12,multiclass,Random Forest,200,10,14,72,500,0.22962963
1.12,multiclass,Random Forest,200,10,16,72,500,0.22962963
1.12,multiclass,Random Forest,200,10,18,72,500,0.22962963
1.12,multiclass,Random Forest,200,10,20,72,500,0.22962963
1.12,multiclass,Random Forest,400,20,8,72,500,0.222222222
1.12,multiclass,Random Forest,400,20,10,72,500,0.222222222
1.12,multiclass,Random Forest,400,20,12,72,500,0.222222222
1.12,multiclass,Random Forest,400,20,14,72,500,0.222222222
1.12,multiclass,Random Forest,400,20,16,72,500,0.222222222
1.12,multiclass,Random Forest,400,20,18,72,500,0.222222222
1.12,multiclass,Random Forest,400,20,20,72,500,0.222222222
1.12,multiclass,Random Forest,400,10,8,72,500,0.220588235
1.12,multiclass,Random Forest,400,10,10,72,500,0.220588235
1.12,multiclass,Random Forest,400,10,12,72,500,0.220588235
1.12,multiclass,Random Forest,400,10,14,72,500,0.220588235
1.12,multiclass,Random Forest,400,10,16,72,500,0.220588235
1.12,multiclass,Random Forest,400,10,18,72,500,0.220588235
1.12,multiclass,Random Forest,400,10,20,72,500,0.220588235
