experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,15,40,0.583333333
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,10,25,0.583333333
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,20,45,0.581317454
1.13,multiclass,Random Forest,"(5454, 1600)",200,200,2,10,20,0.580945292
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,10,45,0.580357143
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,10,45,0.580357143
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,25,30,0.579613095
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,20,40,0.579456643
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,15,35,0.578869048
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,10,20,0.578125
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,25,30,0.578125
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,25,40,0.577967994
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,20,35,0.577928724
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,10,40,0.577380952
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,15,45,0.577380952
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,15,25,0.577380952
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,25,25,0.575892857
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,25,45,0.574618534
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,20,20,0.574404762
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,10,35,0.574404762
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,25,20,0.573660714
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,20,30,0.573462362
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,20,30,0.573315966
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,20,25,0.573129885
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,25,45,0.572172619
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,20,35,0.572013398
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,20,45,0.570684524
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,20,45,0.570684524
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,10,40,0.569940476
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,25,25,0.569940476
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,25,20,0.569780424
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,20,35,0.569196429
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,25,30,0.569196429
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,20,35,0.568663937
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,15,30,0.568452381
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,20,40,0.568452381
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,20,40,0.568452381
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,15,20,0.567708333
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,25,20,0.567175288
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,25,25,0.566964286
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,25,35,0.566964286
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,10,25,0.566220238
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,20,25,0.565367079
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,10,35,0.564732143
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,25,35,0.564570153
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,15,25,0.563988095
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,25,40,0.563988095
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,25,40,0.563988095
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,10,35,0.563453666
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,20,30,0.562337179
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,25,35,0.55952381
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,25,20,0.55952381
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,25,45,0.558779762
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,20,25,0.558243394
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,20,30,0.558035714
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,10,20,0.557291667
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,10,30,0.557291667
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,20,45,0.556568664
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,15,40,0.556547619
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,20,35,0.555803571
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,25,20,0.555803571
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,15,20,0.555059524
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,20,20,0.554852517
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,15,45,0.554315476
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,10,30,0.553777447
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,20,25,0.553571429
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,20,40,0.553033122
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,20,20,0.551730555
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,15,35,0.551339286
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,10,30,0.54985119
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,25,30,0.5493115
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,20,25,0.548363095
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,20,30,0.548363095
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,25,30,0.546130952
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,15,30,0.545386905
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,25,25,0.544101228
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,20,20,0.54389881
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,25,25,0.543154762
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,20,35,0.542612579
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,20,40,0.539263119
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,10,25,0.537946429
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,10,25,0.53777447
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,20,45,0.537030145
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,20,30,0.535727577
1.13,multiclass,Random Forest,"(5454, 800)",100,100,2,10,20,0.534797172
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,20,25,0.53461109
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,10,40,0.532738095
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,20,20,0.531819873
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,25,20,0.529017857
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,20,20,0.529017857
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,10,45,0.52827381
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,15,40,0.527353926
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,20,35,0.526609602
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,25,20,0.525493115
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,10,35,0.523065476
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,15,45,0.523031204
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,15,25,0.522321429
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,10,30,0.521577381
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,15,45,0.520282843
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,10,20,0.519345238
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,10,25,0.517857143
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,15,20,0.517857143
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,20,30,0.514700409
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,15,35,0.514328247
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,20,20,0.513397841
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,15,40,0.512630015
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,10,40,0.511144131
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,15,40,0.510420543
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,15,45,0.510048381
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,25,45,0.509658247
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,25,40,0.509117975
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,15,40,0.508172363
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,15,30,0.508001489
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,25,45,0.507257164
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,15,35,0.50651284
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,15,25,0.506140677
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,25,35,0.505024191
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,15,30,0.505024191
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,15,35,0.50371471
1.13,multiclass,Random Forest,"(2727, 1600)",200,100,2,10,20,0.50297619
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,10,25,0.502228826
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,10,45,0.502228826
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,20,35,0.502228826
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,15,45,0.502228826
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,20,30,0.502228826
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,25,30,0.500186081
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,20,25,0.500186081
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,5,40,0.5
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,20,45,0.499257058
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,25,40,0.499257058
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,5,45,0.498511905
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,25,35,0.497771174
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,15,45,0.496696753
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,15,25,0.49628529
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,15,25,0.496278377
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,15,40,0.49585931
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,5,45,0.495347972
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,25,40,0.494799406
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,15,35,0.494799406
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,5,40,0.493859323
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,10,30,0.493313522
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,20,40,0.493313522
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,20,35,0.493313522
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,20,45,0.491827637
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,25,40,0.491815476
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,5,30,0.491254187
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,5,35,0.491254187
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,15,30,0.490341753
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,20,40,0.490341753
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,15,35,0.489997209
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,25,25,0.489765538
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,15,30,0.487577929
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,10,35,0.487369985
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,20,25,0.487369985
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,25,40,0.48735119
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,20,20,0.48678824
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,10,20,0.485884101
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,5,35,0.485119048
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,25,35,0.485119048
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,20,30,0.484398217
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,25,35,0.484398217
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,15,20,0.484183104
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,25,45,0.482912333
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,15,25,0.482832418
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,20,45,0.482694455
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,25,35,0.482142857
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,25,25,0.481426449
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,25,30,0.481426449
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,15,20,0.480089319
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,5,25,0.480089319
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,20,20,0.479940565
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,25,30,0.479940565
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,20,40,0.479910714
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,15,30,0.478786751
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,15,40,0.478786751
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,15,30,0.478454681
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,15,20,0.478454681
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,25,45,0.478422619
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,20,40,0.477112021
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,15,45,0.47692594
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,5,30,0.476190476
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,20,25,0.475482912
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,15,35,0.474879047
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,25,25,0.474702381
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,20,35,0.474702381
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,25,20,0.474506885
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,25,45,0.473214286
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,25,25,0.473214286
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,15,20,0.47306225
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,25,20,0.472511144
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,20,30,0.472273911
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,15,25,0.472273911
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,25,30,0.47172619
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,20,45,0.47172619
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,20,35,0.471157425
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,15,45,0.470785262
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,5,45,0.469539376
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,5,25,0.46875
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,15,20,0.466877559
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,5,45,0.465202828
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,15,40,0.465202828
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,20,20,0.465081724
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,5,45,0.464458504
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,25,30,0.464285714
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,5,35,0.464086342
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,5,40,0.464086342
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,10,45,0.46359584
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,5,40,0.462783774
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,5,40,0.462109955
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,5,35,0.461309524
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,5,20,0.460736881
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,20,25,0.460364719
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,15,35,0.460364719
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,5,25,0.45887607
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,5,45,0.458333333
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,5,30,0.458131745
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,5,30,0.457759583
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,25,20,0.457652303
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,20,25,0.456845238
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,5,35,0.456643096
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,25,25,0.456166419
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,20,35,0.45610119
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,20,25,0.454613095
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,20,30,0.454613095
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,20,45,0.453869048
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,15,25,0.453194651
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,5,20,0.452921474
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,15,30,0.452177149
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,5,30,0.451708767
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,5,20,0.451432825
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,5,40,0.450892857
1.13,multiclass,Random Forest,"(2727, 1600)",400,200,1,5,20,0.450892857
1.13,multiclass,Random Forest,"(5454, 800)",200,200,1,5,25,0.4506885
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,15,20,0.450222883
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,20,40,0.45014881
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,20,20,0.448827689
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,20,30,0.448660714
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,25,20,0.447916667
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,25,20,0.447916667
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,5,30,0.447152959
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,15,40,0.444940476
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,5,30,0.443452381
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,20,20,0.443452381
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,10,40,0.442793462
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,5,20,0.442708333
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,15,35,0.442708333
1.13,multiclass,Random Forest,"(2727, 800)",200,100,1,5,25,0.441964286
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,15,25,0.440267957
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,10,35,0.439821694
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,15,45,0.43915147
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,15,20,0.438779308
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,20,20,0.438244048
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,5,40,0.438221064
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,5,25,0.437848902
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,5,35,0.437848902
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,5,45,0.437662821
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,15,40,0.435429847
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,5,40,0.435429847
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,5,35,0.435364042
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,15,45,0.435267857
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,10,40,0.435057685
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,5,35,0.433941198
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,10,30,0.433941198
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,15,30,0.433569036
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,10,45,0.433569036
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,15,45,0.433333333
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,5,25,0.432392273
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,15,35,0.432080387
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,5,20,0.429847413
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,5,45,0.429475251
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,10,35,0.429475251
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,10,30,0.429420505
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,10,25,0.429103089
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,10,45,0.428730927
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,5,40,0.427986602
1.13,multiclass,Random Forest,"(1364, 3200)",400,100,2,10,25,0.427934621
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,5,35,0.427242278
1.13,multiclass,Random Forest,"(137, 1600)",400,10,1,10,45,0.426470588
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,15,25,0.425595238
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,5,45,0.425381466
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,5,30,0.424637142
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,5,25,0.423892817
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,10,40,0.423706736
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,15,25,0.423520655
1.13,multiclass,Random Forest,"(5454, 400)",100,100,1,5,20,0.422404168
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,15,40,0.422222222
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,10,30,0.421845925
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,15,30,0.421130952
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,5,30,0.420171195
1.13,multiclass,Random Forest,"(5454, 25588)",400,400,4,10,20,0.419799032
1.13,multiclass,Random Forest,"(5454, 6399)",100,100,4,15,20,0.419054708
1.13,multiclass,Random Forest,"(1364, 1600)",400,100,1,5,20,0.419019316
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,10,25,0.418124302
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,15,30,0.417410714
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,15,45,0.417410714
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,5,40,0.417325765
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,15,35,0.416666667
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,5,40,0.416666667
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,5,45,0.416666667
1.13,multiclass,Random Forest,"(1364, 25059)",400,100,4,25,45,0.416047548
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,5,35,0.415836978
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,5,30,0.415371732
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,5,25,0.414960923
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,5,25,0.414906486
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,20,40,0.414814815
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,25,40,0.414814815
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,5,35,0.414434524
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,5,45,0.414255141
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,10,35,0.414030517
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,10,45,0.413603796
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,5,20,0.413045501
1.13,multiclass,Random Forest,"(137, 3199)",400,10,2,10,35,0.411764706
1.13,multiclass,Random Forest,"(1364, 25059)",400,100,4,25,40,0.411589896
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,5,45,0.4112393
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,5,45,0.411111111
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,20,35,0.411111111
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,25,35,0.411111111
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,15,25,0.409970238
1.13,multiclass,Random Forest,"(10908, 12800)",200,400,4,10,20,0.409936732
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,10,45,0.408634164
1.13,multiclass,Random Forest,"(1364, 25059)",400,100,4,20,40,0.408618128
1.13,multiclass,Random Forest,"(1364, 25059)",400,100,4,25,35,0.408618128
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,5,30,0.407738095
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,10,45,0.407407407
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,10,45,0.407145515
1.13,multiclass,Random Forest,"(2727, 12772)",200,100,4,15,40,0.406994048
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,10,35,0.405656866
1.13,multiclass,Random Forest,"(2727, 25514)",400,200,4,15,20,0.405505952
1.13,multiclass,Random Forest,"(5454, 12799)",200,200,4,10,40,0.404912542
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,5,40,0.404726461
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,10,40,0.404484973
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,10,30,0.404112776
1.13,multiclass,Random Forest,"(2727, 3200)",400,200,2,5,20,0.404017857
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,10,30,0.403703704
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,20,30,0.403703704
1.13,multiclass,Random Forest,"(546, 400)",100,10,1,25,30,0.403703704
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,10,40,0.403609974
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,10,25,0.403423893
1.13,multiclass,Random Forest,"(1364, 25059)",400,100,4,20,45,0.402674591
1.13,multiclass,Random Forest,"(21817, 6400)",100,400,4,10,35,0.402530939
1.13,multiclass,Random Forest,"(1364, 25059)",400,100,4,25,30,0.401188707
1.13,multiclass,Random Forest,"(10908, 6400)",100,200,4,10,30,0.401004838
