experiment,category,classifier,training shape,sample_length,coverage,k,max_depth,n_estimators,score
1.13,multiclass,Random Forest,"(21817, 400)",100,400,1,10,20,0.867963153
1.13,multiclass,Random Forest,"(21817, 800)",100,400,2,15,20,0.864241184
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,45,0.863974693
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,25,0.863602531
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,45,0.86341645
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,30,0.863230368
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,10,45,0.862299963
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,40,0.861741719
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,35,0.860439151
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,40,0.859880908
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,25,35,0.859322665
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,25,45,0.859322665
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,25,35,0.858950502
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,30,0.858764421
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,25,40,0.857647934
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,35,0.857275772
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,20,35,0.85690361
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,25,45,0.856717529
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,10,40,0.856717529
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,25,30,0.855787123
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,25,40,0.855601042
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,25,0.855414961
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,25,0.854856718
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,20,40,0.854856718
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,15,45,0.854670636
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,20,20,0.854484555
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,25,25,0.853740231
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,20,45,0.85355415
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,25,20,0.852995906
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,25,30,0.852623744
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,20,20,0.852251582
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,15,40,0.850576852
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,20,30,0.849832527
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,25,25,0.848529959
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,15,20,0.846483067
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,10,35,0.846110904
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,25,20,0.845924823
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,15,35,0.844064012
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,20,25,0.842761444
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,10,30,0.83885374
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,15,30,0.838667659
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,15,45,0.836992929
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,15,25,0.834387793
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,20,20,0.833643469
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,15,40,0.832899144
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,10,45,0.831224414
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,10,40,0.829735765
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,10,25,0.829735765
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,15,35,0.821362114
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,10,35,0.821176033
1.13,multiclass,Random Forest,"(10908, 800)",200,400,1,10,20,0.820617789
1.13,multiclass,Random Forest,"(10908, 1600)",200,400,2,15,20,0.81745441
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,15,30,0.816337923
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,10,30,0.812802382
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,10,25,0.806475623
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,15,25,0.798660216
1.13,multiclass,Random Forest,"(10908, 400)",100,200,1,10,20,0.792147376
1.13,multiclass,Random Forest,"(10908, 800)",100,200,2,15,20,0.784890212
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,10,45,0.773353182
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,20,45,0.771864533
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,25,45,0.770003722
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,25,45,0.769631559
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,10,40,0.769259397
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,20,40,0.769259397
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,15,45,0.768887235
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,25,30,0.768887235
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,10,35,0.767398586
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,20,35,0.765909937
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,15,40,0.764049125
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,25,35,0.763304801
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,25,25,0.762932639
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,25,40,0.762932639
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,10,30,0.762560476
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,25,30,0.762188314
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,20,30,0.76144399
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,15,45,0.760699665
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,25,35,0.760327503
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,15,40,0.758838854
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,20,40,0.757722367
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,20,25,0.756233718
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,20,45,0.755861556
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,25,20,0.755861556
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,25,40,0.755489393
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,25,25,0.752512095
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,15,25,0.752139933
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,15,35,0.751767771
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,15,20,0.751395608
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,15,35,0.751395608
1.13,multiclass,Random Forest,"(5454, 3200)",400,400,2,20,35,0.751395608
1.13,multiclass,Random Forest,"(5454, 1600)",400,400,1,15,30,0.751023446
