experiment,category,classifier,training shape,sample_length,coverage,k,eta,epsilon,penalty,l2_lambda,max_iter,score,score type
16.04,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.1,0.01,,0,200,0.27586206896551724,species_recall
16.04,multiclass,Logistic Regression,"(56, 783)",100,1,2,0.1,0.01,,0,200,0.27586206896551724,species_recall
16.04,multiclass,Logistic Regression,"(56, 1705)",100,1,4,0.1,0.01,,0,200,0.13793103448275862,species_recall
16.04,multiclass,Logistic Regression,"(56, 1337)",100,1,6,0.1,0.01,,0,200,0.13793103448275862,species_recall
16.04,multiclass,Logistic Regression,"(56, 1018)",100,1,8,0.1,0.01,,0,200,0.10344827586206896,species_recall
16.04,multiclass,Logistic Regression,"(56, 850)",100,1,10,0.1,0.01,,0,200,0.06896551724137931,species_recall
16.04,multiclass,Logistic Regression,"(56, 680)",100,1,12,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.04,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.1,0.01,,0,200,0.3074074074074074,species_recall
16.04,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.1,0.01,,0,200,0.4074074074074074,species_recall
16.04,multiclass,Logistic Regression,"(546, 5653)",100,10,4,0.1,0.01,,0,200,0.4222222222222222,species_recall
16.04,multiclass,Logistic Regression,"(546, 10603)",100,10,6,0.1,0.01,,0,200,0.337037037037037,species_recall
16.04,multiclass,Logistic Regression,"(546, 9168)",100,10,8,0.1,0.01,,0,200,0.28888888888888886,species_recall
16.04,multiclass,Logistic Regression,"(546, 7762)",100,10,10,0.1,0.01,,0,200,0.26296296296296295,species_recall
16.04,multiclass,Logistic Regression,"(546, 6222)",100,10,12,0.1,0.01,,0,200,0.2851851851851852,species_recall
16.04,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.1,0.01,,0,200,0.1734276144398958,species_recall
16.04,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.1,0.01,,0,200,0.17640491254186824,species_recall
16.04,multiclass,Logistic Regression,"(5454, 6397)",100,100,4,0.1,0.01,,0,200,0.7294380349832527,species_recall
16.04,multiclass,Logistic Regression,"(5454, 38810)",100,100,6,0.1,0.01,,0,200,0.6914774841831038,species_recall
16.04,multiclass,Logistic Regression,"(5454, 54213)",100,100,8,0.1,0.01,,0,200,0.6296985485671753,species_recall
16.04,multiclass,Logistic Regression,"(5454, 49415)",100,100,10,0.1,0.01,,0,200,0.6367696315593598,species_recall
16.04,multiclass,Logistic Regression,"(5454, 39956)",100,100,12,0.1,0.01,,0,200,0.5947152958689989,species_recall
16.04,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.1,0.01,,0,200,0.17677707480461483,species_recall
16.04,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.1,0.01,,0,200,0.18012653516933383,species_recall
16.04,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.1,0.01,,0,200,0.8717901004838109,species_recall
16.04,multiclass,Logistic Regression,"(10908, 44511)",100,200,6,0.1,0.01,,0,200,0.8593226646818013,species_recall
16.04,multiclass,Logistic Regression,"(10908, 70169)",100,200,8,0.1,0.01,,0,200,0.8189430591737997,species_recall
16.04,multiclass,Logistic Regression,"(10908, 65558)",100,200,10,0.1,0.01,,0,200,0.8291775213993301,species_recall
16.04,multiclass,Logistic Regression,"(10908, 53169)",100,200,12,0.1,0.01,,0,200,0.8310383327130629,species_recall
16.04,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.1,0.01,,0,200,0.17837536056573927,species_recall
16.04,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.1,0.01,,0,200,0.17911975435005117,species_recall
16.04,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.1,0.01,,0,200,0.16339443565646228,species_recall
16.04,multiclass,Logistic Regression,"(21817, 46692)",100,400,6,0.1,0.01,,0,200,0.7454173257653298,species_recall
16.04,multiclass,Logistic Regression,"(21817, 77763)",100,400,8,0.1,0.01,,0,200,0.962035917000093,species_recall
16.04,multiclass,Logistic Regression,"(21817, 73498)",100,400,10,0.1,0.01,,0,200,0.9579417511863776,species_recall
16.04,multiclass,Logistic Regression,"(21817, 59689)",100,400,12,0.1,0.01,,0,200,0.946868893644738,species_recall
16.04,multiclass,Logistic Regression,"(29, 800)",200,1,1,0.1,0.01,,0,200,0.26666666666666666,species_recall
16.04,multiclass,Logistic Regression,"(29, 1462)",200,1,2,0.1,0.01,,0,200,0.26666666666666666,species_recall
16.04,multiclass,Logistic Regression,"(29, 1989)",200,1,4,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 1441)",200,1,6,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 1098)",200,1,8,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 879)",200,1,10,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 703)",200,1,12,0.1,0.01,,0,200,0.26666666666666666,species_recall
16.04,multiclass,Logistic Regression,"(274, 800)",200,10,1,0.1,0.01,,0,200,0.4888888888888889,species_recall
16.04,multiclass,Logistic Regression,"(274, 1600)",200,10,2,0.1,0.01,,0,200,0.4740740740740741,species_recall
16.04,multiclass,Logistic Regression,"(274, 8993)",200,10,4,0.1,0.01,,0,200,0.3851851851851852,species_recall
16.04,multiclass,Logistic Regression,"(274, 11935)",200,10,6,0.1,0.01,,0,200,0.3333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(274, 9831)",200,10,8,0.1,0.01,,0,200,0.26666666666666666,species_recall
16.04,multiclass,Logistic Regression,"(274, 7924)",200,10,10,0.1,0.01,,0,200,0.22962962962962963,species_recall
16.04,multiclass,Logistic Regression,"(274, 6347)",200,10,12,0.1,0.01,,0,200,0.21481481481481482,species_recall
16.04,multiclass,Logistic Regression,"(2727, 800)",200,100,1,0.1,0.01,,0,200,0.17113095238095238,species_recall
16.04,multiclass,Logistic Regression,"(2727, 1600)",200,100,2,0.1,0.01,,0,200,0.35788690476190477,species_recall
16.04,multiclass,Logistic Regression,"(2727, 12772)",200,100,4,0.1,0.01,,0,200,0.6339285714285714,species_recall
16.04,multiclass,Logistic Regression,"(2727, 61306)",200,100,6,0.1,0.01,,0,200,0.5833333333333334,species_recall
16.04,multiclass,Logistic Regression,"(2727, 72790)",200,100,8,0.1,0.01,,0,200,0.44419642857142855,species_recall
16.04,multiclass,Logistic Regression,"(2727, 61783)",200,100,10,0.1,0.01,,0,200,0.4523809523809524,species_recall
16.04,multiclass,Logistic Regression,"(2727, 49756)",200,100,12,0.1,0.01,,0,200,0.46130952380952384,species_recall
16.04,multiclass,Logistic Regression,"(5454, 800)",200,200,1,0.1,0.01,,0,200,0.17566058801637513,species_recall
16.04,multiclass,Logistic Regression,"(5454, 1600)",200,200,2,0.1,0.01,,0,200,0.17826572385560105,species_recall
16.04,multiclass,Logistic Regression,"(5454, 12798)",200,200,4,0.1,0.01,,0,200,0.7811685895050242,species_recall
16.04,multiclass,Logistic Regression,"(5454, 78529)",200,200,6,0.1,0.01,,0,200,0.7126907331596576,species_recall
16.04,multiclass,Logistic Regression,"(5454, 109125)",200,200,8,0.1,0.01,,0,200,0.6404912541868255,species_recall
16.04,multiclass,Logistic Regression,"(5454, 95390)",200,200,10,0.1,0.01,,0,200,0.6457015258652773,species_recall
16.04,multiclass,Logistic Regression,"(5454, 77072)",200,200,12,0.1,0.01,,0,200,0.6259769259397097,species_recall
16.04,multiclass,Logistic Regression,"(10908, 800)",200,400,1,0.1,0.01,,0,200,0.17603275027912169,species_recall
16.04,multiclass,Logistic Regression,"(10908, 1600)",200,400,2,0.1,0.01,,0,200,0.17640491254186824,species_recall
16.04,multiclass,Logistic Regression,"(10908, 12800)",200,400,4,0.1,0.01,,0,200,0.9170078154075176,species_recall
16.04,multiclass,Logistic Regression,"(10908, 89401)",200,400,6,0.1,0.01,,0,200,0.8972832154819501,species_recall
16.04,multiclass,Logistic Regression,"(10908, 140110)",200,400,8,0.1,0.01,,0,200,0.8548567175288426,species_recall
16.04,multiclass,Logistic Regression,"(10908, 125348)",200,400,10,0.1,0.01,,0,200,0.843133606252326,species_recall
16.04,multiclass,Logistic Regression,"(10908, 101603)",200,400,12,0.1,0.01,,0,200,0.823781168589505,species_recall
16.04,multiclass,Logistic Regression,"(15, 1597)",400,1,1,0.1,0.01,,0,200,0.125,species_recall
16.04,multiclass,Logistic Regression,"(15, 2357)",400,1,2,0.1,0.01,,0,200,0.25,species_recall
16.04,multiclass,Logistic Regression,"(15, 2160)",400,1,4,0.1,0.01,,0,200,0.125,species_recall
16.04,multiclass,Logistic Regression,"(15, 1512)",400,1,6,0.1,0.01,,0,200,0.25,species_recall
16.04,multiclass,Logistic Regression,"(15, 1150)",400,1,8,0.1,0.01,,0,200,0.125,species_recall
16.04,multiclass,Logistic Regression,"(15, 920)",400,1,10,0.1,0.01,,0,200,0.125,species_recall
16.04,multiclass,Logistic Regression,"(15, 759)",400,1,12,0.1,0.01,,0,200,0.125,species_recall
16.04,multiclass,Logistic Regression,"(137, 1600)",400,10,1,0.1,0.01,,0,200,0.3235294117647059,species_recall
16.04,multiclass,Logistic Regression,"(137, 3200)",400,10,2,0.1,0.01,,0,200,0.39705882352941174,species_recall
16.04,multiclass,Logistic Regression,"(137, 12661)",400,10,4,0.1,0.01,,0,200,0.29411764705882354,species_recall
16.04,multiclass,Logistic Regression,"(137, 12719)",400,10,6,0.1,0.01,,0,200,0.19117647058823528,species_recall
16.04,multiclass,Logistic Regression,"(137, 10112)",400,10,8,0.1,0.01,,0,200,0.2647058823529412,species_recall
16.04,multiclass,Logistic Regression,"(137, 8117)",400,10,10,0.1,0.01,,0,200,0.20588235294117646,species_recall
16.04,multiclass,Logistic Regression,"(137, 6697)",400,10,12,0.1,0.01,,0,200,0.17647058823529413,species_recall
16.04,multiclass,Logistic Regression,"(1364, 1600)",400,100,1,0.1,0.01,,0,200,0.16196136701337296,species_recall
16.04,multiclass,Logistic Regression,"(1364, 3200)",400,100,2,0.1,0.01,,0,200,0.6315007429420505,species_recall
16.04,multiclass,Logistic Regression,"(1364, 25074)",400,100,4,0.1,0.01,,0,200,0.6240713224368499,species_recall
16.04,multiclass,Logistic Regression,"(1364, 81515)",400,100,6,0.1,0.01,,0,200,0.3774145616641902,species_recall
16.04,multiclass,Logistic Regression,"(1364, 82668)",400,100,8,0.1,0.01,,0,200,0.4086181277860327,species_recall
16.04,multiclass,Logistic Regression,"(1364, 68431)",400,100,10,0.1,0.01,,0,200,0.42199108469539376,species_recall
16.04,multiclass,Logistic Regression,"(1364, 56701)",400,100,12,0.1,0.01,,0,200,0.37295690936106984,species_recall
16.04,multiclass,Logistic Regression,"(2727, 1600)",400,200,1,0.1,0.01,,0,200,0.18377976190476192,species_recall
16.04,multiclass,Logistic Regression,"(2727, 3200)",400,200,2,0.1,0.01,,0,200,0.39211309523809523,species_recall
16.04,multiclass,Logistic Regression,"(2727, 25520)",400,200,4,0.1,0.01,,0,200,0.7113095238095238,species_recall
16.04,multiclass,Logistic Regression,"(2727, 118331)",400,200,6,0.1,0.01,,0,200,0.6130952380952381,species_recall
16.04,multiclass,Logistic Regression,"(2727, 139289)",400,200,8,0.1,0.01,,0,200,0.5394345238095238,species_recall
16.04,multiclass,Logistic Regression,"(2727, 118205)",400,200,10,0.1,0.01,,0,200,0.46205357142857145,species_recall
16.04,multiclass,Logistic Regression,"(2727, 98183)",400,200,12,0.1,0.01,,0,200,0.5379464285714286,species_recall
16.04,multiclass,Logistic Regression,"(5454, 1600)",400,400,1,0.1,0.01,,0,200,0.16858950502419054,species_recall
16.04,multiclass,Logistic Regression,"(5454, 3200)",400,400,2,0.1,0.01,,0,200,0.17454410122813546,species_recall
16.04,multiclass,Logistic Regression,"(5454, 25582)",400,400,4,0.1,0.01,,0,200,0.8366207666542612,species_recall
16.04,multiclass,Logistic Regression,"(5454, 149101)",400,400,6,0.1,0.01,,0,200,0.8180126535169334,species_recall
16.04,multiclass,Logistic Regression,"(5454, 202083)",400,400,8,0.1,0.01,,0,200,0.708969110532192,species_recall
16.04,multiclass,Logistic Regression,"(5454, 175922)",400,400,10,0.1,0.01,,0,200,0.7059918124302196,species_recall
16.04,multiclass,Logistic Regression,"(5454, 146544)",400,400,12,0.1,0.01,,0,200,0.6732415333085225,species_recall
16.04,multiclass,Logistic Regression,"(56, 400)",100,1,1,0.1,0.01,,0,200,0.3793103448275862,species_recall
16.04,multiclass,Logistic Regression,"(56, 793)",100,1,2,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.04,multiclass,Logistic Regression,"(56, 1668)",100,1,4,0.1,0.01,,0,200,0.1724137931034483,species_recall
16.04,multiclass,Logistic Regression,"(56, 1312)",100,1,6,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.04,multiclass,Logistic Regression,"(56, 995)",100,1,8,0.1,0.01,,0,200,0.1724137931034483,species_recall
16.04,multiclass,Logistic Regression,"(56, 830)",100,1,10,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.04,multiclass,Logistic Regression,"(56, 664)",100,1,12,0.1,0.01,,0,200,0.20689655172413793,species_recall
16.04,multiclass,Logistic Regression,"(546, 400)",100,10,1,0.1,0.01,,0,200,0.337037037037037,species_recall
16.04,multiclass,Logistic Regression,"(546, 800)",100,10,2,0.1,0.01,,0,200,0.44074074074074077,species_recall
16.04,multiclass,Logistic Regression,"(546, 5689)",100,10,4,0.1,0.01,,0,200,0.4,species_recall
16.04,multiclass,Logistic Regression,"(546, 10515)",100,10,6,0.1,0.01,,0,200,0.35185185185185186,species_recall
16.04,multiclass,Logistic Regression,"(546, 9097)",100,10,8,0.1,0.01,,0,200,0.337037037037037,species_recall
16.04,multiclass,Logistic Regression,"(546, 7701)",100,10,10,0.1,0.01,,0,200,0.2777777777777778,species_recall
16.04,multiclass,Logistic Regression,"(546, 6173)",100,10,12,0.1,0.01,,0,200,0.2814814814814815,species_recall
16.04,multiclass,Logistic Regression,"(5454, 400)",100,100,1,0.1,0.01,,0,200,0.18310383327130628,species_recall
16.04,multiclass,Logistic Regression,"(5454, 800)",100,100,2,0.1,0.01,,0,200,0.17156680312616301,species_recall
16.04,multiclass,Logistic Regression,"(5454, 6399)",100,100,4,0.1,0.01,,0,200,0.7379977670264235,species_recall
16.04,multiclass,Logistic Regression,"(5454, 38917)",100,100,6,0.1,0.01,,0,200,0.6974320803870487,species_recall
16.04,multiclass,Logistic Regression,"(5454, 54556)",100,100,8,0.1,0.01,,0,200,0.6311871976181616,species_recall
16.04,multiclass,Logistic Regression,"(5454, 49571)",100,100,10,0.1,0.01,,0,200,0.621510978786751,species_recall
16.04,multiclass,Logistic Regression,"(5454, 40078)",100,100,12,0.1,0.01,,0,200,0.605508001488649,species_recall
16.04,multiclass,Logistic Regression,"(10908, 400)",100,200,1,0.1,0.01,,0,200,0.17473018235950874,species_recall
16.04,multiclass,Logistic Regression,"(10908, 800)",100,200,2,0.1,0.01,,0,200,0.17621883141049496,species_recall
16.04,multiclass,Logistic Regression,"(10908, 6400)",100,200,4,0.1,0.01,,0,200,0.8842575362858206,species_recall
16.04,multiclass,Logistic Regression,"(10908, 44586)",100,200,6,0.1,0.01,,0,200,0.8429475251209527,species_recall
16.04,multiclass,Logistic Regression,"(10908, 70502)",100,200,8,0.1,0.01,,0,200,0.8301079270561965,species_recall
16.04,multiclass,Logistic Regression,"(10908, 65863)",100,200,10,0.1,0.01,,0,200,0.8046148120580573,species_recall
16.04,multiclass,Logistic Regression,"(10908, 53410)",100,200,12,0.1,0.01,,0,200,0.7966133234090064,species_recall
16.04,multiclass,Logistic Regression,"(21817, 400)",100,400,1,0.1,0.01,,0,200,0.18228342793337676,species_recall
16.04,multiclass,Logistic Regression,"(21817, 800)",100,400,2,0.1,0.01,,0,200,0.1789336559039732,species_recall
16.04,multiclass,Logistic Regression,"(21817, 6400)",100,400,4,0.1,0.01,,0,200,0.16665115846282683,species_recall
16.04,multiclass,Logistic Regression,"(21817, 46736)",100,400,6,0.1,0.01,,0,200,0.7397413231599517,species_recall
16.04,multiclass,Logistic Regression,"(21817, 77887)",100,400,8,0.1,0.01,,0,200,0.9573834558481437,species_recall
16.04,multiclass,Logistic Regression,"(21817, 73646)",100,400,10,0.1,0.01,,0,200,0.9604540802084303,species_recall
16.04,multiclass,Logistic Regression,"(21817, 59824)",100,400,12,0.1,0.01,,0,200,0.9593374895319624,species_recall
16.04,multiclass,Logistic Regression,"(29, 800)",200,1,1,0.1,0.01,,0,200,0.2,species_recall
16.04,multiclass,Logistic Regression,"(29, 1450)",200,1,2,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 1943)",200,1,4,0.1,0.01,,0,200,0.06666666666666667,species_recall
16.04,multiclass,Logistic Regression,"(29, 1432)",200,1,6,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 1093)",200,1,8,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(29, 878)",200,1,10,0.1,0.01,,0,200,0.2,species_recall
16.04,multiclass,Logistic Regression,"(29, 704)",200,1,12,0.1,0.01,,0,200,0.13333333333333333,species_recall
16.04,multiclass,Logistic Regression,"(274, 800)",200,10,1,0.1,0.01,,0,200,0.4148148148148148,species_recall
16.04,multiclass,Logistic Regression,"(274, 1600)",200,10,2,0.1,0.01,,0,200,0.45925925925925926,species_recall
16.04,multiclass,Logistic Regression,"(274, 9057)",200,10,4,0.1,0.01,,0,200,0.4,species_recall
16.04,multiclass,Logistic Regression,"(274, 12033)",200,10,6,0.1,0.01,,0,200,0.2814814814814815,species_recall
16.04,multiclass,Logistic Regression,"(274, 9906)",200,10,8,0.1,0.01,,0,200,0.28888888888888886,species_recall
16.04,multiclass,Logistic Regression,"(274, 7986)",200,10,10,0.1,0.01,,0,200,0.2518518518518518,species_recall
16.04,multiclass,Logistic Regression,"(274, 6392)",200,10,12,0.1,0.01,,0,200,0.23703703703703705,species_recall
16.04,multiclass,Logistic Regression,"(2727, 800)",200,100,1,0.1,0.01,,0,200,0.17336309523809523,species_recall
16.04,multiclass,Logistic Regression,"(2727, 1600)",200,100,2,0.1,0.01,,0,200,0.4099702380952381,species_recall
