experiment,category,classifier,sample_length,coverage,k,max_depth,n_estimators,score
1.9,multiclass,Random Forest,100,200,2,10,500,0.727763305
1.9,multiclass,Random Forest,100,200,2,12,500,0.818570897
1.9,multiclass,Random Forest,100,200,2,14,500,0.85522888
1.9,multiclass,Random Forest,100,200,2,16,500,0.868998884
1.9,multiclass,Random Forest,100,200,2,18,500,0.87011537
1.9,multiclass,Random Forest,100,200,2,20,500,0.87011537
1.9,multiclass,Random Forest,100,200,2,22,500,0.872906587
1.9,multiclass,Random Forest,100,200,2,24,500,0.870301451
1.9,multiclass,Random Forest,100,200,2,26,500,0.87495348
1.9,multiclass,Random Forest,100,200,2,28,500,0.870301451
1.9,multiclass,Random Forest,100,200,2,30,500,0.870859695
1.9,multiclass,Random Forest,100,200,2,32,500,0.873650912
1.9,multiclass,Random Forest,100,200,2,34,500,0.8717901
1.9,multiclass,Random Forest,100,200,2,36,500,0.874767399
1.9,multiclass,Random Forest,100,200,2,38,500,0.873650912
1.9,multiclass,Random Forest,100,200,2,40,500,0.875883885
1.9,multiclass,Random Forest,100,200,2,42,500,0.874395236
1.9,multiclass,Random Forest,100,200,2,44,500,0.870673614
1.9,multiclass,Random Forest,100,200,2,46,500,0.876256048
1.9,multiclass,Random Forest,100,200,2,48,500,0.874395236
1.9,multiclass,Random Forest,100,200,2,50,500,0.878116859
1.9,multiclass,Random Forest,100,200,2,52,500,0.875325642
1.9,multiclass,Random Forest,100,200,2,54,500,0.877744697
1.9,multiclass,Random Forest,100,200,2,56,500,0.875883885
1.9,multiclass,Random Forest,100,200,2,58,500,0.870487533
1.9,multiclass,Random Forest,100,200,2,60,500,0.877372534
1.9,multiclass,Random Forest,100,200,2,62,500,0.875139561
1.9,multiclass,Random Forest,100,200,2,64,500,0.873092668
1.9,multiclass,Random Forest,100,200,2,66,500,0.876069967
1.9,multiclass,Random Forest,100,200,2,68,500,0.877930778
1.9,multiclass,Random Forest,100,200,2,70,500,0.879605508
1.9,multiclass,Random Forest,100,200,2,72,500,0.879233346
1.9,multiclass,Random Forest,100,200,2,74,500,0.877558616
1.9,multiclass,Random Forest,100,200,2,76,500,0.879419427
1.9,multiclass,Random Forest,100,200,2,78,500,0.879233346
1.9,multiclass,Random Forest,100,200,2,80,500,0.878861183
1.9,multiclass,Random Forest,100,200,2,82,500,0.878116859
1.9,multiclass,Random Forest,100,200,2,84,500,0.880163751
1.9,multiclass,Random Forest,100,200,2,86,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,88,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,90,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,92,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,94,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,96,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,98,500,0.879047265
1.9,multiclass,Random Forest,100,200,2,100,500,0.879047265
