experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,score,score type
7.03,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,none,auto,,0.1724137931034483,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(56, 793)",100,1,2,none,auto,,0.3448275862068966,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(56, 1722)",100,1,4,none,auto,,0.20689655172413793,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(56, 1338)",100,1,6,none,auto,,0.10344827586206896,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(56, 1018)",100,1,8,none,auto,,0.20689655172413793,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,none,auto,,0.20689655172413793,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,none,auto,,0.1724137931034483,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,none,auto,,0.46296296296296297,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,none,auto,,0.45555555555555555,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 5689)",100,10,4,none,auto,,0.34814814814814815,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 10714)",100,10,6,none,auto,,0.2851851851851852,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 9328)",100,10,8,none,auto,,0.3,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 7885)",100,10,10,none,auto,,0.21851851851851853,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(546, 6317)",100,10,12,none,auto,,0.25555555555555554,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,none,auto,,0.4905098622999628,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,none,auto,,0.6672869371045776,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,none,auto,,0.7465574990695943,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 38665)",100,100,6,none,auto,,0.6918496464458503,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 53604)",100,100,8,none,auto,,0.656866393747674,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 48759)",100,100,10,none,auto,,0.6323036844064012,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 39395)",100,100,12,none,auto,,0.6345366579828805,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 400)",100,200,1,none,auto,,0.5106066244882769,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 800)",100,200,2,none,auto,,0.6596576107182731,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 6400)",100,200,4,none,auto,,0.8935615928544846,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 43939)",100,200,6,none,auto,,0.8641607740975065,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 68550)",100,200,8,none,auto,,0.8362486043915147,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 63875)",100,200,10,none,auto,,0.8291775213993301,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 51766)",100,200,12,none,auto,,0.8340156308150354,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 400)",100,400,1,none,auto,,0.5060016748860147,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 800)",100,400,2,none,auto,,0.6599050897925003,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 6400)",100,400,4,none,auto,,0.9727365776495767,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 46691)",100,400,6,none,auto,,0.9666883781520424,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 77733)",100,400,8,none,auto,,0.9600818833162743,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 73479)",100,400,10,none,auto,,0.9606401786545082,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(21817, 59669)",100,400,12,none,auto,,0.9570112589559877,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 800)",200,1,1,none,auto,,0.26666666666666666,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 1444)",200,1,2,none,auto,,0.2,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 1910)",200,1,4,none,auto,,0.13333333333333333,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 1429)",200,1,6,none,auto,,0.06666666666666667,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 1096)",200,1,8,none,auto,,0.13333333333333333,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 878)",200,1,10,none,auto,,0.13333333333333333,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(29, 703)",200,1,12,none,auto,,0.13333333333333333,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 800)",200,10,1,none,auto,,0.4,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 1600)",200,10,2,none,auto,,0.4,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 9082)",200,10,4,none,auto,,0.2962962962962963,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 11985)",200,10,6,none,auto,,0.34074074074074073,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 9852)",200,10,8,none,auto,,0.28888888888888886,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 7945)",200,10,10,none,auto,,0.24444444444444444,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(274, 6361)",200,10,12,none,auto,,0.2814814814814815,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 800)",200,100,1,none,auto,,0.6153273809523809,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 1600)",200,100,2,none,auto,,0.6644345238095238,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 12772)",200,100,4,none,auto,,0.6941964285714286,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 60742)",200,100,6,none,auto,,0.6257440476190477,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 71903)",200,100,8,none,auto,,0.5208333333333334,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 60817)",200,100,10,none,auto,,0.47693452380952384,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(2727, 48991)",200,100,12,none,auto,,0.5,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 800)",200,200,1,none,auto,,0.6319315221436547,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 1600)",200,200,2,none,auto,,0.7908448083364347,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 12799)",200,200,4,none,auto,,0.8168961667286937,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 77930)",200,200,6,none,auto,,0.7473018235950875,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 108026)",200,200,8,none,auto,,0.7026423520655005,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 94148)",200,200,10,none,auto,,0.6825455898771865,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(5454, 76066)",200,200,12,none,auto,,0.663565314477112,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 800)",200,400,1,none,auto,,0.6323036844064012,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 1600)",200,400,2,none,auto,,0.9019352437662821,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 12800)",200,400,4,none,auto,,0.9227763304800893,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 88349)",200,400,6,none,auto,,0.8924451060662448,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 136646)",200,400,8,none,auto,,0.8654633420171195,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 121850)",200,400,10,none,auto,,0.8663937476739858,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(10908, 98704)",200,400,12,none,auto,,0.8563453665798288,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 1592)",400,1,1,none,auto,,0.25,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 2327)",400,1,2,none,auto,,0.25,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 2146)",400,1,4,none,auto,,0.125,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 1511)",400,1,6,none,auto,,0.125,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 1150)",400,1,8,none,auto,,0.125,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 920)",400,1,10,none,auto,,0.125,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(15, 759)",400,1,12,none,auto,,0.125,species_recall
7.03,multiclass,Logistic Regression (sklearn),"(137, 1600)",400,10,1,none,auto,,0.5147058823529411,species_recall
