experiment,category,classifier,training shape,sample_length,coverage,k,penalty,multi_class,class_weight,solver,score,score type
17.02,multiclass,Logistic Regression (sklearn),"(56, 400)",100,1,1,l2,auto,,lbfgs,0.3793103448275862,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 789)",100,1,2,l2,auto,,lbfgs,0.41379310344827586,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 1697)",100,1,4,l2,auto,,lbfgs,0.10344827586206896,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 1326)",100,1,6,l2,auto,,lbfgs,0.10344827586206896,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 1017)",100,1,8,l2,auto,,lbfgs,0.1724137931034483,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 850)",100,1,10,l2,auto,,lbfgs,0.10344827586206896,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(56, 680)",100,1,12,l2,auto,,lbfgs,0.1724137931034483,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 400)",100,10,1,l2,auto,,lbfgs,0.40370370370370373,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 800)",100,10,2,l2,auto,,lbfgs,0.4148148148148148,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 5665)",100,10,4,l2,auto,,lbfgs,0.4111111111111111,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 10503)",100,10,6,l2,auto,,lbfgs,0.3296296296296296,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 9156)",100,10,8,l2,auto,,lbfgs,0.3111111111111111,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 7747)",100,10,10,l2,auto,,lbfgs,0.26666666666666666,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(546, 6204)",100,10,12,l2,auto,,lbfgs,0.2962962962962963,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 400)",100,100,1,l2,auto,,lbfgs,0.48381094157052473,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 800)",100,100,2,l2,auto,,lbfgs,0.6319315221436547,species_recall
17.02,multiclass,Logistic Regression (sklearn),"(5454, 6399)",100,100,4,l2,auto,,lbfgs,0.7402307406029028,species_recall
